pubmed_id,title,keywords,journal,abstract,methods,results,conclusions,copyrights,doi,publication_date,authors
40065771,Effects of non-pharmacological interventions on sexual health in patients with breast cancer: A network meta-analysis.,"Breast neoplasms, Network meta-analysis, Non-pharmacological intervention, Sexual health",Asia-Pacific journal of oncology nursing,"This review systematically identifies and synthesizes evidence to examine the impact of non-pharmacological interventions on the sexual health of patients with breast cancer through a meta-analysis approach.
From establishment to December 2, 2024, eight electronic databases including PubMed, Embase, Web of Science, Cochrane, CNKI, VIP, Wanfang and Biomedical Literature Service System were searched. The inclusion criteria comprised randomized controlled trials (RCTs) of non-drug interventions, controlled clinical trials and quasi-experimental studies. Two researchers independently conducted the literature screening, data extraction, and quality assessment of the included studies by employing the Cochrane quality evaluation manual. The two researchers conducted independent literature screening, data extraction, and quality assessment of the included studies using the Cochrane Manual 5.1.0 recommended RCT risk assessment tool for bias. Meta-analysis was conducted using RevMan5.3 and R studio GEMTC package. The inconsistency test model is employed to evaluate the overall inconsistency. If 
A total of 2451 titles and abstracts were retrieved, resulting in the inclusion of 19 articles, covering 19 non-pharmacological intervention methods. The overall risk of bias analysis indicated lower risk in 3 studies and some concerns in 16 studies. The meta-analysis findings indicate that non-pharmacological interventions were associated with improved sexual health outcomes for patients with breast cancer, when compared to standard care practices. The top five non-drug interventions, ranked by effect size, were Stress management consulting [
In conclusion, Stress management consulting is recommended as the primary intervention for enhancing the sexual health in patients with breast cancer, emphasizing the need for tailored clinical nursing practices. However, further high-quality randomized controlled trials are necessary to validate these findings.
CRD42023475462.",,"A total of 2451 titles and abstracts were retrieved, resulting in the inclusion of 19 articles, covering 19 non-pharmacological intervention methods. The overall risk of bias analysis indicated lower risk in 3 studies and some concerns in 16 studies. The meta-analysis findings indicate that non-pharmacological interventions were associated with improved sexual health outcomes for patients with breast cancer, when compared to standard care practices. The top five non-drug interventions, ranked by effect size, were Stress management consulting [",,© 2025 The Authors.,10.1016/j.apjon.2025.100662,2025-03-11,"Yan Liu, Yinhua Wang, Li Yao, Qinqin Li, Tingrui Wang, Hong Li, Jiajia Yin, Tingshu Wang"
40065328,Extraction of a stromal metastatic gene signature in breast cancer via spatial profiling.,"Metastatic disease, Prognostic biomarker, Spatial transcriptomics, Stromal microenvironment",Journal of experimental & clinical cancer research : CR,"The identification of molecular features characterizing metastatic disease is a critical area of oncology research, as metastatic foci often exhibit distinct biological behaviors compared to primary tumors. While the focus has largely been on the neoplastic cells themselves, the characterization of the associated stroma remains largely underexplored, with significant implications for understanding metastasis.
By employing spatially resolved transcriptomics, we analyzed the transcriptional features of primary breast adenocarcinoma and its associated metastatic foci, on a representative set of microregions. We identified a stromal metastatic (Met) signature, which was subsequently validated across transcriptomic reference human breast cancer (BC) datasets and in spatial transcriptomics of a murine model.
We discuss the potential of a stromal Met signature to pinpoint metastatic breast cancer, serving as a prognostic tool that can provide a foundation for the exploration of tumor-extrinsic molecular hallmarks of BC metastatic foci.",,,"We discuss the potential of a stromal Met signature to pinpoint metastatic breast cancer, serving as a prognostic tool that can provide a foundation for the exploration of tumor-extrinsic molecular hallmarks of BC metastatic foci.",© 2025. The Author(s).,10.1186/s13046-025-03353-3,2025-03-11,"Giorgio Bertolazzi, Valeria Cancila, Davide Vacca, Beatrice Belmonte, Daniele Lecis, Parsa Sirati Moghaddam, Arianna Di Napoli, Mario Paolo Colombo, Giancarlo Pruneri, Giannino Del Sal, Giorgio Scita, Matteo Fassan, Andrea Vecchione, Silvio Bicciato, Claudio Tripodo"
40064980,Impact of adapted physical activity and diet counselling on health-related quality of life in women undergoing adjuvant breast cancer therapy.,"Breast cancer, Clinical trial, Health-related quality of life, Linear mixed models, Longitudinal data, Time to deterioration",Scientific reports,"In the monocentric APAD1 trial, 143 women with non-metastatic breast cancer were randomised to undergo either an adapted physical activity and diet counselling (APAD) program or usual care. Health-related quality of life (HRQoL) was prospectively evaluated using the EORTC QLQ-C30 questionnaire at baseline, during treatment (adjuvant chemotherapy and radiotherapy) and during follow-up. Our objective was two-fold: to analyse the impact of APAD on HRQoL using three approaches; to illustrate the advantages and disadvantages of each approach, and derive methodological recommendations. Analytical approaches utilised were: statistical testing to compare the mean HRQoL scores between baseline and end of study in both groups and the mean HRQoL scores between the two groups at the different assessment times; linear mixed models that modelled the longitudinal score data in both groups and tested whether the score trajectories were different between the groups; a survival analysis comparing the time to deterioration of HRQoL between the groups using a minimal clinically important difference. This study shows a substantial clinical benefit of the APAD intervention on HRQoL, especially for global health status/HRQoL, functioning scales and the fatigue symptom scale. Furthermore, this study highlights the advantages and disadvantages of three standard approaches used to analyse HRQoL data.Trial registration: The APAD1 study was registered with ClinicalTrials.gov (number NCT01495650, date 20/12/2011).",,,,© 2025. The Author(s).,10.1038/s41598-025-91569-w,2025-03-11,"Célia Touraine, William Jacot, Sophie Gourgou, Marion Carayol, Pierre Senesse, Grégory Ninot, Caroline Mollevi"
40062154,Assessment of the Efficacy and Pulmonary Toxicity of Trastuzumab Deruxtecan in HER2-Positive and HER2-Low Metastatic Breast Cancer in a Tertiary Center in the United Arab Emirates.,"her2-low expression, her2-positive, interstitial lung disease, metastatic breast cancer, trastuzumab deruxtecan",Cureus,"Trastuzumab deruxtecan (T-DXd) is a HER2-directed antibody-drug conjugate indicated for the treatment of unresectable or metastatic HER2-positive breast cancer in patients who have received a prior anti-HER2-based regimen. T-DXd is also indicated for unresectable or metastatic HER2-low breast cancer, following prior chemotherapy in the metastatic setting or recurrent disease within six months of adjuvant chemotherapy. This study aims to evaluate the efficacy and safety of T-DXd in treating HER2-positive and HER2-low metastatic breast cancer (MBC) patients in a real-world clinical setting. In the T-DXd pivotal research, imaging assessments were conducted every six weeks with CT or MRI, but outside of a clinical trial setting, this frequent imaging is practically challenging due to resources and difficulty in reimbursing. In addition to clinical outcome assessments, we sought to review the incidence of pneumonitis in a real-world setting and to assess if the three-monthly response assessment scans would be sufficient to rule out asymptomatic pneumonitis.
A retrospective analysis was conducted on 100 patients diagnosed with HER2-positive (immunohistochemistry (IHC) 3+ or in situ hybridization (ISH) positive) or HER2-low (IHC 1+ or IHC 2+ and ISH negative) MBC treated with T-DXd at 5.4 mg/kg every 21 days, with standardized dose adjustments as required. Treatment was continued until disease progression or unacceptable toxicity. The median follow-up duration was 15 months. Responses were assessed using the Response Evaluation Criteria in Solid Tumors (RECIST) v1.1 criteria, and toxicity was determined using the Common Terminology Criteria for Adverse Events (CTCAE) version 5.0. Data analysis was performed using SPSS IBM software version 26 (IBM Corp., Armonk, New York, NY, US).
The median age of the patients was 47 years, ranging from 29 to 86 years, with the majority being younger than 65 and predominantly women. All patients had an Eastern Cooperative Oncology Group (ECOG) performance status of 0-1 at baseline. Most patients were HER2-positive, while a smaller proportion were classified as HER2-low. A significant number of patients presented with visceral disease, while a smaller subset had brain metastases at the time of baseline evaluation. Nearly half of the patients were hormone receptor-positive (HR+), and more than half had a high Ki-67 index of over 20%. The majority of patients received T-DXd as a second- or third-line treatment. Clinical responses included partial response, complete response, and stable disease. Survival outcomes showed high overall survival rates at 12 and 24 months, with a median progression-free survival (PFS) of 24 months. Only one patient experienced grade 3 pneumonitis, suggesting that 12-weekly imaging assessments may be adequate for monitoring most patients.
Our real-world experience confirms that the efficacy of T-DXd in UAE is consistent with published data from published phase 3 clinical trials. The incidence of clinical pulmonary toxicity is much lower than anticipated, and until further data is available, it may be reasonable to continue using the 12-weekly assessment scans to monitor patients for interstitial lung disease (ILD). Further studies are needed to determine the optimal imaging frequency for monitoring ILD.",,"The median age of the patients was 47 years, ranging from 29 to 86 years, with the majority being younger than 65 and predominantly women. All patients had an Eastern Cooperative Oncology Group (ECOG) performance status of 0-1 at baseline. Most patients were HER2-positive, while a smaller proportion were classified as HER2-low. A significant number of patients presented with visceral disease, while a smaller subset had brain metastases at the time of baseline evaluation. Nearly half of the patients were hormone receptor-positive (HR+), and more than half had a high Ki-67 index of over 20%. The majority of patients received T-DXd as a second- or third-line treatment. Clinical responses included partial response, complete response, and stable disease. Survival outcomes showed high overall survival rates at 12 and 24 months, with a median progression-free survival (PFS) of 24 months. Only one patient experienced grade 3 pneumonitis, suggesting that 12-weekly imaging assessments may be adequate for monitoring most patients.",,"Copyright © 2025, Hourani et al.",10.7759/cureus.78471,2025-03-10,"Mohammad Hourani, Rawan Bdair, Emad Dawoud, Diaeddine A Trad, Selvaraj Giridharan, Khaled Al Qawasmeh, Husam Marashi, Jawaher Ansari"
40055656,Deciphering the anti-neoplastic potential of Allium ascalonicum in averting the proliferation and epithelial-mesenchymal transition of triple-negative breast cancer through virtual docking and In Vitro approaches.,"Allium ascalonicum, Anti-inflammatory, Anti-metastatic, Chemotherapeutic, Molecular Docking, TNBC",BMC cancer,"Universally, Allium ascalonicum (Shallots) is a well-known flavouring agent in many cuisines. Though, it's been proved for its health benefits due to the presence of alkaloids, flavonoids, terpenoids, phenols and coumarins, its role as an anti-neoplastic agent still requires comprehensive investigation. In our study, we have investigated the presence of potential anti-neoplastic phytocompounds, anti-inflammatory, cytotoxicity and anti-metastatic activity of Shallots against Triple-Negative Breast Cancer cell line, MDA-MB-231.
Phytocompounds of aqueous Allium ascalonicum extract (AAE) derived from GC-MS and LC-MS analysis were docked with an inflammatory marker, Interleukin-18 (IL-18); anti-apoptotic proteins, B-cell Lymphoma-2 (BCL-2) and Myeloid Cell Leukemia-1 (MCL-1); and metastatic marker, Vimentin using PyRx (Version 0.9.9). Subsequently, the anti-inflammatory property of AAE was determined using Bovine Serum Albumin (BSA) Denaturation Assay and the chemotherapeutic potential of AAE was determined using 3-(4,5-Dimethylthiazol-2-yl)-2,5-Diphenyltetrazolium Bromide (MTT) assay on MDA-MB-231 and HEK293T cell lines. Additionally, to determine the synergistic effect of Doxorubicin Hydrochloride (Standard) and AAE, MTT assay was performed on MDA-MB-231 cell lines treated with the combination therapy. Furthermore, the anti-metastatic property of AAE was determined using cell migration and clonogenic assays. Finally, Dual Acridine Orange/Ethidium Bromide fluorescence staining method was used to determine if AAE has the ability to induce apoptosis and necrosis in MDA-MB-231 cells.
Molecular docking results using the compounds obtained from LC-MS and GC-MS with the target proteins revealed promising anti-neoplastic bioactive compounds. BSA Denaturation assay proved that AAE has anti-inflammatory property, with the highest, 85.78% observed at 2 mg/ml of AAE. Moreover, MTT assay proved that AAE exhibited cytotoxic effect on MDA-MB-231 in a dose-dependent manner, with an IC
The outcomes from in vitro assays corroborated with the molecular docking results and hence, on authenticating the potentiality of AAE's anti-neoplastic effect via. in vivo models, pre-clinical and clinical trials, Allium ascalonicum can be articulated to a prospective anti-neoplastic drug for treating TNBC.",,"Molecular docking results using the compounds obtained from LC-MS and GC-MS with the target proteins revealed promising anti-neoplastic bioactive compounds. BSA Denaturation assay proved that AAE has anti-inflammatory property, with the highest, 85.78% observed at 2 mg/ml of AAE. Moreover, MTT assay proved that AAE exhibited cytotoxic effect on MDA-MB-231 in a dose-dependent manner, with an IC","The outcomes from in vitro assays corroborated with the molecular docking results and hence, on authenticating the potentiality of AAE's anti-neoplastic effect via. in vivo models, pre-clinical and clinical trials, Allium ascalonicum can be articulated to a prospective anti-neoplastic drug for treating TNBC.",© 2025. The Author(s).,10.1186/s12885-025-13796-8,2025-03-09,"Karunya Jenin Ravindranath, Hemalatha Srinivasan"
40055608,"The effects of intermittent fasting on anthropometric indices, glycemic profile, chemotherapy-related toxicity, and subjective perception in gynecological and breast cancer patients: a systematic review and meta-analysis.","Breast cancer, Gynecological cancer, Intermittent fasting, Short-term fasting, Time-restricted eating",BMC cancer,"Mounting evidence supports the health benefits of intermittent fasting (IF) in general. This study evaluates its impact on patients with gynecological or breast cancer specifically.
A thorough search for studies comparing IF with either nonintervention diets or calorie restriction (CR) in patients with either gynecological or breast cancer and published prior to October 5, 2024 was carried out on the PubMed, Web of Science, Cochrane Library, Scopus, Embase, China National Knowledge Infrastructure (CNKI), and Chinese Biomedical Literature databases (CBM). Extracted data included but not limited to body mass index (BMI), body weight, waist circumference (WC), fasting glucose, insulin levels, chemotherapy-related toxicity, and subjective perceptions.
A total of 625 subjects were included across 7 randomized controlled trials, and 2 nonrandomized trials. Meta-analysis revealed that IF significantly reduced body weight (Effect Size [ES]: -0.611; 95% Confidence Interval [CI]: -0.886 to -0.356; p < 0.001; I² = 0%), blood glucose levels (standardized mean difference [SMD]: -0.347 mmol/L; 95% CI: -0.533 to -0.140; p < 0.001), and insulin concentrations (SMD: -0.395 mU/L; 95% CI: -0.674 to -0.116; p = 0.005). Sensitivity analysis indicated that the overall effect sizes were stable. However, it remains uncertain whether IF increases chemotherapy-related adverse effects (relative risk [RR]: 1.038; 95% CI: 0.844 to 1.278; p = 0.723). Furthermore, three studies indicated that IF reduced fatigue and two studies indicated that IF improved quality of life.
This systematic review and meta-analysis suggests that IF has a beneficial effect on reducing body weight, blood glucose, and insulin concentrations in gynecological and breast cancer patients. IF may also reduce fatigue and improve quality of life. However, the effect on chemotherapy-related adverse effects is uncertain. Further high-quality studies with long-term follow-ups are needed to confirm these findings.",,"A total of 625 subjects were included across 7 randomized controlled trials, and 2 nonrandomized trials. Meta-analysis revealed that IF significantly reduced body weight (Effect Size [ES]: -0.611; 95% Confidence Interval [CI]: -0.886 to -0.356; p < 0.001; I² = 0%), blood glucose levels (standardized mean difference [SMD]: -0.347 mmol/L; 95% CI: -0.533 to -0.140; p < 0.001), and insulin concentrations (SMD: -0.395 mU/L; 95% CI: -0.674 to -0.116; p = 0.005). Sensitivity analysis indicated that the overall effect sizes were stable. However, it remains uncertain whether IF increases chemotherapy-related adverse effects (relative risk [RR]: 1.038; 95% CI: 0.844 to 1.278; p = 0.723). Furthermore, three studies indicated that IF reduced fatigue and two studies indicated that IF improved quality of life.","This systematic review and meta-analysis suggests that IF has a beneficial effect on reducing body weight, blood glucose, and insulin concentrations in gynecological and breast cancer patients. IF may also reduce fatigue and improve quality of life. However, the effect on chemotherapy-related adverse effects is uncertain. Further high-quality studies with long-term follow-ups are needed to confirm these findings.",© 2025. The Author(s).,10.1186/s12885-025-13806-9,2025-03-09,"Xiaoxia Liu, Qiucen Meng, Wenqi Fan, Lianzhen Ning, Lina Ge"
40054999,Society for Immunotherapy of Cancer (SITC) consensus statement on essential biomarkers for immunotherapy clinical protocols.,"Biomarker, Dendritic, Immunotherapy, Neutrophil, T cell",Journal for immunotherapy of cancer,"Immunotherapy of cancer is now an essential pillar of treatment for patients with many individual tumor types. Novel immune targets and technical advances are driving a rapid exploration of new treatment strategies incorporating immune agents in cancer clinical practice. Immunotherapies perturb a complex system of interactions among genomically unstable tumor cells, diverse cells within the tumor microenvironment including the systemic adaptive and innate immune cells. The drive to develop increasingly effective immunotherapy regimens is tempered by the risk of immune-related adverse events. Evidence-based biomarkers that measure the potential for therapeutic response and/or toxicity are critical to guide optimal patient care and contextualize the results of immunotherapy clinical trials. Responding to the lack of guidance on biomarker testing in early-phase immunotherapy clinical trials, we propose a definition and listing of essential biomarkers recommended for inclusion in all such protocols. These recommendations are based on consensus provided by the Society for Immunotherapy of Cancer (SITC) Clinical Immuno-Oncology Network (SCION) faculty with input from the SITC Pathology and Biomarker Committees and the Journal for ImmunoTherapy of Cancer readership. A consensus-based selection of essential biomarkers was conducted using a Delphi survey of SCION faculty. Regular updates to these recommendations are planned. The inaugural list of essential biomarkers includes complete blood count with differential to generate a neutrophil-to-lymphocyte ratio or systemic immune-inflammation index, serum lactate dehydrogenase and albumin, programmed death-ligand 1 immunohistochemistry, microsatellite stability assessment, and tumor mutational burden. Inclusion of these biomarkers across early-phase immunotherapy clinical trials will capture variation among trials, provide deeper insight into the novel and established therapies, and support improved patient selection and stratification for later-phase clinical trials.",,,,© Author(s) (or their employer(s)) 2025. Re-use permitted under CC BY-NC. No commercial re-use. See rights and permissions. Published by BMJ Group.,10.1136/jitc-2024-010928,2025-03-09,"Tricia R Cottrell, Michael T Lotze, Alaa Ali, Carlo B Bifulco, Christian M Capitini, Laura Q M Chow, Anthony R Cillo, Deborah Collyar, Leslie Cope, Julie Stein Deutsch, Genia Dubrovsky, Sacha Gnjatic, Denise Goh, Susan Halabi, Gary Kohanbash, Holden T Maecker, Saman Maleki Vareki, Sarah Mullin, Barbara Seliger, Janis Taube, Wim Vos, Joe Yeong, Kristin G Anderson, Tullia C Bruno, Codruta Chiuzan, Ivan Diaz-Padilla, Elizabeth Garrett-Mayer, Isabella C Glitza Oliva, Paola Grandi, Elizabeth G Hill, Brian P Hobbs, Yana G Najjar, Phyllis Pettit Nassi, Virgil H Simons, Sumit K Subudhi, Ryan J Sullivan, Chris H Takimoto"
40053900,Phase II Evaluation of Ultra-Hypofractionated Postoperative Radiation Therapy for Breast Cancer: Toxicity and Efficacy in a Single-Center Nonrandomized Prospective Study.,,JCO global oncology,"To evaluate the toxicity profile and efficacy of postoperative ultra-hypofractionated radiation therapy in elderly patients with breast cancer.
This is a nonrandomized, single-center, prospective Phase II trial. Patients with breast cancer older than 65 years were treated with ultra-hypofractionated radiation therapy in 5 fractions of 5.7 Gy on alternate days in the breast or chest wall, or regional lymph nodes. The primary end point was acute toxicity.
A total of 60 patients were analyzed, with a median follow-up of 42.5 months (range, 13.8-66.2). Most patients presented pathologic stage I (56.6%, n = 34) or stage II (33.3%, n = 20) disease. Regional lymph node irradiation was performed in 22% (n = 13) of patients. During treatment, 51% (n = 31) of patients experienced grade 1 or 2 acute toxicity, with no cases of grade 3 acute toxicity reported. Late toxicity included 1.7% (n = 1) of patients developing grade 3 fibrosis and 1.7% (n = 1) developing grade 3 pneumonitis. Regional lymph node irradiation was not associated with a statistically significant increase in toxicity risk (
This study demonstrates the safety of ultra-hypofractionated radiation therapy in terms of toxicity in patients with breast cancer. The findings for side effects, cosmesis, quality of life, and survival outcomes are consistent with those observed in moderately hypofractionated radiation therapy regimens, suggesting its use as a viable treatment option in this demographic.",,"A total of 60 patients were analyzed, with a median follow-up of 42.5 months (range, 13.8-66.2). Most patients presented pathologic stage I (56.6%, n = 34) or stage II (33.3%, n = 20) disease. Regional lymph node irradiation was performed in 22% (n = 13) of patients. During treatment, 51% (n = 31) of patients experienced grade 1 or 2 acute toxicity, with no cases of grade 3 acute toxicity reported. Late toxicity included 1.7% (n = 1) of patients developing grade 3 fibrosis and 1.7% (n = 1) developing grade 3 pneumonitis. Regional lymph node irradiation was not associated with a statistically significant increase in toxicity risk (","This study demonstrates the safety of ultra-hypofractionated radiation therapy in terms of toxicity in patients with breast cancer. The findings for side effects, cosmesis, quality of life, and survival outcomes are consistent with those observed in moderately hypofractionated radiation therapy regimens, suggesting its use as a viable treatment option in this demographic.",,10.1200/GO-24-00277,2025-03-07,"Marcel Fang, Vinicius de Carvalho Gico, Lucas Casimiro, Bruno Takatsu, Elson Santos Neto, Rossana Veronica Mendoza Lopez, Gustavo Vilela Costa Pinto, Gustavo Nader Marta"
40053790,Augmenting Insufficiently Accruing Oncology Clinical Trials Using Generative Models: Validation Study.,"artificial intelligence, clinical trial replication, dataset, generative models, machine learning, oncology, patient, recruitment, retrospective, simulated patient, simulation, study accrual, validation",Journal of medical Internet research,"Insufficient patient accrual is a major challenge in clinical trials and can result in underpowered studies, as well as exposing study participants to toxicity and additional costs, with limited scientific benefit. Real-world data can provide external controls, but insufficient accrual affects all arms of a study, not just controls. Studies that used generative models to simulate more patients were limited in the accrual scenarios considered, replicability criteria, number of generative models, and number of clinical trials evaluated.
This study aimed to perform a comprehensive evaluation on the extent generative models can be used to simulate additional patients to compensate for insufficient accrual in clinical trials.
We performed a retrospective analysis using 10 datasets from 9 fully accrued, completed, and published cancer trials. For each trial, we removed the latest recruited patients (from 10% to 50%), trained a generative model on the remaining patients, and simulated additional patients to replace the removed ones using the generative model to augment the available data. We then replicated the published analysis on this augmented dataset to determine if the findings remained the same. Four different generative models were evaluated: sequential synthesis with decision trees, Bayesian network, generative adversarial network, and a variational autoencoder. These generative models were compared to sampling with replacement (ie, bootstrap) as a simple alternative. Replication of the published analyses used 4 metrics: decision agreement, estimate agreement, standardized difference, and CI overlap.
Sequential synthesis performed well on the 4 replication metrics for the removal of up to 40% of the last recruited patients (decision agreement: 88% to 100% across datasets, estimate agreement: 100%, cannot reject standardized difference null hypothesis: 100%, and CI overlap: 0.8-0.92). Sampling with replacement was the next most effective approach, with decision agreement varying from 78% to 89% across all datasets. There was no evidence of a monotonic relationship in the estimated effect size with recruitment order across these studies. This suggests that patients recruited earlier in a trial were not systematically different than those recruited later, at least partially explaining why generative models trained on early data can effectively simulate patients recruited later in a trial. The fidelity of the generated data relative to the training data on the Hellinger distance was high in all cases.
For an oncology study with insufficient accrual with as few as 60% of target recruitment, sequential synthesis can enable the simulation of the full dataset had the study continued accruing patients and can be an alternative to drawing conclusions from an underpowered study. These results provide evidence demonstrating the potential for generative models to rescue poorly accruing clinical trials, but additional studies are needed to confirm these findings and to generalize them for other diseases.",,"Sequential synthesis performed well on the 4 replication metrics for the removal of up to 40% of the last recruited patients (decision agreement: 88% to 100% across datasets, estimate agreement: 100%, cannot reject standardized difference null hypothesis: 100%, and CI overlap: 0.8-0.92). Sampling with replacement was the next most effective approach, with decision agreement varying from 78% to 89% across all datasets. There was no evidence of a monotonic relationship in the estimated effect size with recruitment order across these studies. This suggests that patients recruited earlier in a trial were not systematically different than those recruited later, at least partially explaining why generative models trained on early data can effectively simulate patients recruited later in a trial. The fidelity of the generated data relative to the training data on the Hellinger distance was high in all cases.",,"©Samer El Kababji, Nicholas Mitsakakis, Elizabeth Jonker, Ana-Alicia Beltran-Bless, Gregory Pond, Lisa Vandermeer, Dhenuka Radhakrishnan, Lucy Mosquera, Alexander Paterson, Lois Shepherd, Bingshu Chen, William Barlow, Julie Gralow, Marie-France Savard, Christian Fesl, Dominik Hlauschek, Marija Balic, Gabriel Rinnerthaler, Richard Greil, Michael Gnant, Mark Clemons, Khaled El Emam. Originally published in the Journal of Medical Internet Research (https://www.jmir.org), 05.03.2025.",10.2196/66821,2025-03-07,"Samer El Kababji, Nicholas Mitsakakis, Elizabeth Jonker, Ana-Alicia Beltran-Bless, Gregory Pond, Lisa Vandermeer, Dhenuka Radhakrishnan, Lucy Mosquera, Alexander Paterson, Lois Shepherd, Bingshu Chen, William Barlow, Julie Gralow, Marie-France Savard, Christian Fesl, Dominik Hlauschek, Marija Balic, Gabriel Rinnerthaler, Richard Greil, Michael Gnant, Mark Clemons, Khaled El Emam"
40053697,Pembrolizumab in combination with binimetinib in patients with unresectable locally advanced or metastatic triple-negative breast cancer.,,Clinical cancer research : an official journal of the American Association for Cancer Research,"Activation of the RAS/MAPK pathway is associated with reduced tumor-infiltrating lymphocytes and poor outcomes in triple-negative breast cancer (TNBC). Previous studies demonstrated that inhibition of the MAPK pathway with a MEK inhibitor is synergistic with immune checkpoint inhibitors.
We conducted a phase I/II trial of pembrolizumab and binimetinib in patients with metastatic TNBC with ≤ 3 prior lines of therapy. There were two dose levels (DL) with binimetinib at 45 mg at DL 0 and 30 mg at DL -1.
The recommended phase II dose was the standard dose of pembrolizumab with binimetinib 30 mg twice daily. The objective response rate (ORR) was 30.4%, with a numerically higher ORR in patients without liver metastasis at 45.5%. Among patients who achieved objective responses, 80% had a duration of response > 12 months and ongoing even after stopping treatment (5.4 - 69.0 months). Patients with PD-L1-positive tumors (CPS ≥ 10) were more likely to respond with an ORR of 66.7%. However, clinical benefit was observed in 25% of patients with PD-L1-negative tumors. Consistent with preclinical studies, 4 out of 6 patients with clinical benefit had either increased PD-L1 or decreased p-ERK expressions in serial circulating cancer-associated macrophage-like cells (CAMLs) after starting binimetinib.
Pembrolizumab and binimetinib at 30 mg are safe with manageable toxicities. Promising activity was observed in patients without liver metastases. Future larger clinical trials are warranted to further evaluate the efficacy of this chemotherapy-free combination.",,"The recommended phase II dose was the standard dose of pembrolizumab with binimetinib 30 mg twice daily. The objective response rate (ORR) was 30.4%, with a numerically higher ORR in patients without liver metastasis at 45.5%. Among patients who achieved objective responses, 80% had a duration of response > 12 months and ongoing even after stopping treatment (5.4 - 69.0 months). Patients with PD-L1-positive tumors (CPS ≥ 10) were more likely to respond with an ORR of 66.7%. However, clinical benefit was observed in 25% of patients with PD-L1-negative tumors. Consistent with preclinical studies, 4 out of 6 patients with clinical benefit had either increased PD-L1 or decreased p-ERK expressions in serial circulating cancer-associated macrophage-like cells (CAMLs) after starting binimetinib.",,,10.1158/1078-0432.CCR-24-3001,2025-03-07,"Saranya Chumsri, Joseph J Larson, Emily Liu, Kathleen S Tenner, Daniel Adams, Morgan T Weidner, Amanda N Arnold, Dana L Haley, Pooja Advani, Kostandinos Sideras, Alvaro Moreno-Aspitia, E Aubrey Thompson, Edith A Perez, Keith L Knutson"
40053224,Unraveling the causal relationship and underlying mechanisms between cathepsins on liver cancer: findings from mendelian randomization and bioinformatics analysis.,"Cathepsins, Causal inference, GEO database, Liver cancer, Mendelian randomization",Discover oncology,"Hepatocellular carcinoma (HCC) and cholangiocarcinoma (CCA) are two major types of primary liver cancer (PLC). Earlier research has indicated a potential link between cathepsins and liver cancer. Nonetheless, there have been limited clinical trials examining the connection between cathepsins and PLC. Therefore, we conducted a two-sample Mendelian randomization (MR) study to evaluate the causal relationship between cathepsins and PLC.
Data from genome-wide association studies (GWAS) focusing on cathepsins was collected. Additionally, summary data for GCST90018803 (Hepatic bile duct cancer, HBDC), and GCST90018858 (related to hepatic cancer, HC), were employed in the discovery and validation phases of the study, respectively. The inverse variance weighted (IVW) method was served as the primary analytical method in our Mendelian randomization (MR) study, supplemented by the MR-Egger, weighted median, simple mode, and weighted mode methods. To assess heterogeneity and pleiotropy, we conducted the MR-Egger intercept test, Cochran's Q test, as well as the MR-Pleiotropy RESidual Sum and Outlier (MR-PRESSO) analysis, along with the leave-one-out analysis. After that, bioinformatic analysis based on the Gene Expression Omnibus (GEO) databases were utilized, Gene ontology (GO) and Kyoto Encyclopedia of Genes and Genomes (KEGG) functional enrichment analysis were utilized for exploring the underlying mechanisms. Additionally, protein-protein docking was employed to confirm the interaction between related proteins.
The results showed that cathepsin F (CTSF), was causally associated with HBDC. CTSF decrease the risk of HBDC (OR = 0.826, 95% CI 0.711-0.959, P = 0.012). CTSF may play protective roles in patients with HBDC. No heterogeneity or pleiotropy was observed. Additionally, the expression of CTSF genes is lower in patients with HBDC, GO and KEGG functional enrichment analysis revealed CTSF were mainly related to cell cycle, and P53 pathway in HBDC. Docking results showed that CTSF had good binding ability with MDM2, the most well-established negative regulator of p53.
This study provided new evidence of the relationship between CTSF and HBDC, suggesting that CTSF plays an inhibition role in HBDC progression. CTSF could be a novel and effective way to for HDBC treatment.",,"The results showed that cathepsin F (CTSF), was causally associated with HBDC. CTSF decrease the risk of HBDC (OR = 0.826, 95% CI 0.711-0.959, P = 0.012). CTSF may play protective roles in patients with HBDC. No heterogeneity or pleiotropy was observed. Additionally, the expression of CTSF genes is lower in patients with HBDC, GO and KEGG functional enrichment analysis revealed CTSF were mainly related to cell cycle, and P53 pathway in HBDC. Docking results showed that CTSF had good binding ability with MDM2, the most well-established negative regulator of p53.","This study provided new evidence of the relationship between CTSF and HBDC, suggesting that CTSF plays an inhibition role in HBDC progression. CTSF could be a novel and effective way to for HDBC treatment.",© 2025. The Author(s).,10.1007/s12672-025-02030-3,2025-03-07,"Xiaoxue Wang, Zexin Zhu"
