NCT ID,Acronym,Overall Status,Start Date,Conditions,Interventions,Locations,Primary Completion Date,Study First Post Date,Last Update Post Date,Study Type,Phases,Sponsor,Sponsor Type,Disease
NCT02340962,Unknown,COMPLETED,2015-05,"Hepatitis C, Chronic","TG-2349, Ribavirin, Interferon Alfa-2a",Kaohsiung - Taiwan,2016-08-12,2015-01-19,2023-07-14,INTERVENTIONAL,PHASE2,"TaiGen Biotechnology Co., Ltd.",INDUSTRY,hepatitis
NCT01825980,CBZF961X2201,COMPLETED,2013-03,Hepatitis C,"BZF961, Ritonavir, Placebo","San Diego - United States, Orlando - United States, San Antonio - United States",2014-12,2013-04-08,2021-02-21,INTERVENTIONAL,PHASE2,Novartis Pharmaceuticals,INDUSTRY,hepatitis
NCT01225380,Unknown,COMPLETED,2010-10,Chronic Hepatitis C Infection,"GS-9190, GS-9256, Pegasys®, Copegus®, GS-9190 placebo, GS-9256, Pegasys®, Copegus®, GS-9190 placebo, GS-9256 placebo, Pegasys®, Copegus®","Phoenix - United States, Anaheim - United States, La Jolla - United States, Los Angeles - United States, San Diego - United States, San Diego - United States, San Francisco - United States, Englewood - United States, Gainesville - United States, Miami - United States, Orlando - United States, Sarasota - United States, Atlanta - United States, Atlanta - United States, Chicago - United States, Indianapolis - United States, Baton Rouge - United States, Lutherville - United States, Boston - United States, Detroit - United States, Santa Fe - United States, Great Neck - United States, New York - United States, New York - United States, New York - United States, Durham - United States, Cleveland - United States, Providence - United States, Germantown - United States, Arlington - United States, Dallas - United States, San Antonio - United States, Fairfax - United States, Newport News - United States, Norfolk - United States, Seattle - United States, Graz - Austria, Innsbruck - Austria, Linz - Austria, Vienna - Austria, Vienna - Austria, Antwerpen - Belgium, Brussels - Belgium, Brussels - Belgium, Edegem - Belgium, Liege - Belgium, Calgary - Canada, Edmonton - Canada, Vancouver - Canada, Vancouver - Canada, Vancouver - Canada, Winnipeg - Canada, London - Canada, Ottawa - Canada, Toronto - Canada, Toronto - Canada, Brno - Czech Republic, Melnik - Czech Republic, Plzen - Czech Republic, Prague - Czech Republic, Prague - Czech Republic, Usti Nad labem - Czech Republic, Clichy - France, Créteil - France, Lille - France, Lyon - France, Marseille - France, Vandoeuvre - France, Berlin - Germany, Bonn - Germany, Essen - Germany, Frankfurt/M - Germany, Freiburg - Germany, Hamburg - Germany, Hannover - Germany, Heidelberg - Germany, Leipzig - Germany, Mainz - Germany, München - Germany, Brescia - Italy, Milano - Italy, Padova - Italy, Palermo - Italy, Parma - Italy, Torino - Italy, Bialystok - Poland, Bydgoszcz - Poland, Chorzow - Poland, Czeladz - Poland, Kielce - Poland, Krakow - Poland, Lodz - Poland, Lublin - Poland, Radom - Poland, Szczecin - Poland, Warszawa - Poland, Warszawa - Poland, Warszawa - Poland, Wroclaw - Poland, Barcelona - Spain, Granada - Spain, Madrid - Spain, Madrid - Spain, Sevilla - Spain, Valencia - Spain, Birmingham - United Kingdom, Greater Manchester - United Kingdom, Liverpool - United Kingdom, London - United Kingdom, London - United Kingdom, London - United Kingdom, London - United Kingdom, Newcastle Upon Tyne - United Kingdom, Plymouth - United Kingdom",2013-01,2010-10-21,2014-01-28,INTERVENTIONAL,PHASE2,Gilead Sciences,INDUSTRY,hepatitis
NCT01932762,Unknown,COMPLETED,2013-10-01,Hepatitis C,"Grazoprevir, Elbasvir, Ribavirin",No locations listed,2014-12-04,2013-08-30,2021-02-04,INTERVENTIONAL,PHASE2,Merck Sharp & Dohme LLC,INDUSTRY,hepatitis
NCT03833362,PIONEER,COMPLETED,2014-05-07,Hepatitis C,"Narlaprevir, Ritonavir, Placebo Narlaprevir, Placebo Ritonavir, Pegylated interferon alfa-2a/ Pegylated interferon alfa-2b, Ribavirin","Chelyabinsk - Russian Federation, Kazan - Russian Federation, Moscow - Russian Federation, Moscow - Russian Federation, Moscow - Russian Federation, Moscow - Russian Federation, Moscow - Russian Federation, Moscow - Russian Federation, Moscow - Russian Federation, Moscow - Russian Federation, Moscow - Russian Federation, Novosibirsk - Russian Federation, Saint Petersburg - Russian Federation, Saint Petersburg - Russian Federation, Saint Petersburg - Russian Federation, Samara - Russian Federation, Samara - Russian Federation, Saratow - Russian Federation, Stavropol' - Russian Federation, Stavropol' - Russian Federation",2016-03-23,2019-02-07,2019-02-07,INTERVENTIONAL,PHASE3,R-Pharm,INDUSTRY,hepatitis
NCT02485262,Unknown,UNKNOWN,2013-11,Hepatitis C,Sofosbuvir and simeprevir,Colton - United States,2016-11,2015-06-30,2015-06-30,OBSERVATIONAL,Not Available,Arrowhead Regional Medical Center,OTHER,hepatitis
NCT00277862,Unknown,COMPLETED,2002-04,Hepatitis C,"Pegylated IFN- alpha 2b, Ribavirin","Cairo; - Egypt, Cairo - Egypt, Cairo - Egypt, Mynia and Cairo - Egypt",2007-03,2006-01-18,2008-02-26,INTERVENTIONAL,PHASE4,Ain Shams University,OTHER,hepatitis
NCT00734162,Unknown,COMPLETED,2008-12,Hepatitis B Virus (HBV),"Tenofovir disoproxil fumarate (TDF), Placebo","Oakland - United States, Indianapolis - United States, Seattle - United States, Plovdiv - Bulgaria, Sofia - Bulgaria, Bron Cedex - France, Lille Cedex - France, Białystok - Poland, Bydgoszcz - Poland, Bydgoszcz - Poland, Kraków - Poland, Poznan - Poland, Poznań - Poland, Warszawa - Poland, Wrocław - Poland, Bucharest - Romania, Bucharest - Romania, Napaco - Romania, Madrid - Spain, Madrid - Spain, Izmir - Turkey",2011-03,2008-08-14,2016-09-01,INTERVENTIONAL,PHASE3,Gilead Sciences,INDUSTRY,hepatitis
NCT00781274,Unknown,COMPLETED,2008-12,Hepatitis C,"MP-424, Ribavirin, Peginterferon Alfa-2b",Kawasaki City - Japan,2010-07,2008-10-28,2014-05-02,INTERVENTIONAL,PHASE3,Mitsubishi Tanabe Pharma Corporation,INDUSTRY,hepatitis
NCT02214420,Unknown,COMPLETED,2014-10,Hepatitis C,"Simeprevir, Sofosbuvir, Ribavirin","La Jolla - United States, New York - United States, Murray - United States",2016-06,2014-08-12,2018-06-19,INTERVENTIONAL,PHASE4,"SC Liver Research Consortium, LLC",OTHER,hepatitis
NCT03537274,Unknown,COMPLETED,1997-08-05,Hepatitis C,"PEG-Intron, Interferon Alfa-2B",No locations listed,1999-07-23,2018-05-25,2019-04-09,INTERVENTIONAL,PHASE3,Merck Sharp & Dohme LLC,INDUSTRY,hepatitis
NCT05067374,Mammo'C,RECRUITING,2022-03-23,"Hepatitis C, Breast Cancer",No interventions listed,"Montpellier - France, Montpellier - France, Montpellier - France, Montpellier - France",2024-03-23,2021-10-05,2022-04-08,OBSERVATIONAL,Not Available,"University Hospital, Montpellier",OTHER,hepatitis
NCT05466565,Unknown,RECRUITING,2021-12-01,Hepatocellular Carcinoma,No interventions listed,Changsha - China,2027-10-31,2022-07-20,2022-07-20,OBSERVATIONAL,Not Available,Xiangya Hospital of Central South University,OTHER,hepatitis
NCT04543565,Unknown,UNKNOWN,2020-09,Chronic Hepatitis b,"Pradefovir Mesylate;Placebo of Tenofovir disoproxil fumarate tablet, Tenofovir disoproxil fumarate tablet;Placebo of Pradefovir Mesylate",Changchun - China,2022-10,2020-09-10,2020-09-10,INTERVENTIONAL,PHASE3,"Xi'an Xintong Pharmaceutical Research Co.,Ltd.",OTHER,hepatitis
NCT02331589,Unknown,COMPLETED,2011-08,Fatigue,"KRG (Korea Red ginseng), Placebo (for KRG)",No locations listed,2012-04,2015-01-06,2015-02-10,INTERVENTIONAL,PHASE4,Chuncheon Sacred Heart Hospital,OTHER,hepatitis
NCT04585789,INSIGHT,COMPLETED,2021-03-11,Hepatitis B,"JNJ-73763989, JNJ-56136379, Entecavir (ETV), Tenofovir disoproxil, Tenofovir alafenamide (TAF), PegIFN-alpha-2a (Optional)","Baltimore - United States, Edegem - Belgium, Toronto - Canada, Clichy - France, Hamburg - Germany, Milano - Italy, Auckland - New Zealand, Myslowice - Poland, London - United Kingdom, London - United Kingdom",2023-02-08,2020-10-14,2025-01-13,INTERVENTIONAL,PHASE2,"Janssen Research & Development, LLC",INDUSTRY,hepatitis
NCT00744289,HAVIT,COMPLETED,2008-09,Hepatitis B,Incentive condition,Sydney - Australia,2011-05,2008-08-29,2011-06-16,INTERVENTIONAL,NA,Kirby Institute,OTHER_GOV,hepatitis
NCT02726789,Unknown,COMPLETED,2012-10,"Hepatitis B, Chronic","REP 2139-Ca, pegylated interferon, entecavir",No locations listed,2016-09,2016-04-04,2019-05-08,INTERVENTIONAL,PHASE2,Replicor Inc.,INDUSTRY,hepatitis
NCT00211692,Unknown,COMPLETED,2005-07,Chronic Hepatitis C,"consensus interferon (Interferon Alfacon-1) and ribavirin, Consensus Interferon alfa (CIFN) and ribavirin",No locations listed,2008-07,2005-09-21,2014-11-21,INTERVENTIONAL,PHASE3,Minneapolis Veterans Affairs Medical Center,FED,hepatitis
NCT05406089,Unknown,COMPLETED,2016-01-01,"Hepatocellular Carcinoma, Hepatitis B Virus, Survival",Medication history,No locations listed,2019-06-30,2022-06-06,2022-06-21,OBSERVATIONAL,Not Available,First Affiliated Hospital Xi'an Jiaotong University,OTHER,hepatitis
NCT01172392,PEGAN,UNKNOWN,2011-01,"Chronic Hepatitis B, AgHbs Negativation","Pegylated interferon-alpha-2a, Nucleotidic or Nucleosidic Treatment",Marseille - France,2015-06,2010-07-29,2013-03-29,INTERVENTIONAL,PHASE3,"ANRS, Emerging Infectious Diseases",OTHER_GOV,hepatitis
NCT03488589,Unknown,UNKNOWN,2018-10-01,Hepatitis E,serum samples for HEV RNA PCR,No locations listed,2019-10-01,2018-04-05,2018-07-24,OBSERVATIONAL,Not Available,Mahmoud Abdel Rahman,OTHER,hepatitis
NCT02673489,Unknown,COMPLETED,2016-03-15,Hepatitis C,"DCV, SOF, RBV","Los Angeles - United States, San Francisco - United States, Marietta - United States, Chicago - United States, Catonsville - United States, Bethlehem - United States, Providence - United States, Arlington - United States, Dallas - United States, San Antonio - United States, Falls Church - United States, Richmond - United States, Calgary - Canada, Edmonton - Canada, Vancouver - Canada, Victoria - Canada, Toronto - Canada, Montreal - Canada, Regina - Canada",2017-03-02,2016-02-04,2018-05-08,INTERVENTIONAL,PHASE3,Bristol-Myers Squibb,INDUSTRY,hepatitis
NCT00004848,Unknown,COMPLETED,1981-07,Hepatitis,No interventions listed,Bethesda - United States,Unknown Date,2002-12-10,2008-03-04,OBSERVATIONAL,Not Available,National Institutes of Health Clinical Center (CC),NIH,hepatitis
NCT02056548,Unknown,UNKNOWN,2014-03,"Lymphoma, Chronic Hepatitis B",No interventions listed,No locations listed,2017-12,2014-02-06,2014-02-06,OBSERVATIONAL,Not Available,Seoul St. Mary's Hospital,OTHER,hepatitis
NCT01760148,sIFN-pred2,UNKNOWN,2012-07,"Hepatitis C, Chronic, Liver Diseases, Interferon Deficiency",interferon alpha 2b,Changchun - China,2014-02,2013-01-04,2013-01-04,OBSERVATIONAL,Not Available,Junqi Niu,OTHER,hepatitis
NCT00538265,BEFIRTH,COMPLETED,2005-05,Liver Transplantation,"tacrolimus, tacrolimus, ATG, ATG+mycophénolate mofétil+tacrolimus","Bordeaux - France, Marseille - France, Montpellier - France, Nice - France, Paris - France, Rennes - France, Toulouse - France, Villejuif - France",2010-01,2007-10-02,2011-02-03,INTERVENTIONAL,PHASE4,"University Hospital, Toulouse",OTHER,hepatitis
NCT02563665,Unknown,WITHDRAWN,2015-09,CKD With Hepatitis C,No interventions listed,New Delhi - India,2017-09,2015-09-30,2019-11-05,OBSERVATIONAL,Not Available,"Institute of Liver and Biliary Sciences, India",OTHER,hepatitis
NCT01027065,CONVERT,UNKNOWN,2009-12,Chronic Hepatitis B,"CYT107+GenHevac+entecavir or tenofovir, CYT107+ entecavir or tenofovir","Creteil - France, Grenoble - France, Lyon - France, Marseille - France, Nice - France, Paris - France, Strasbourg - France, Bologna - Italy",2012-11,2009-12-07,2012-10-18,INTERVENTIONAL,PHASE2,Cytheris SA,INDUSTRY,hepatitis
NCT01537965,FIBRECHO,COMPLETED,2012-01,Liver Fibrosis,"Fibroscan® of Echosens, Aixplorer® of Supersonic Imagine, Aplio XG of Toshiba, QRS software developed by Pr I.Bricault, Acuson S2000 of Siemens",Grenoble - France,2014-01,2012-02-23,2014-02-24,INTERVENTIONAL,NA,"University Hospital, Grenoble",OTHER,hepatitis
NCT01947465,Unknown,COMPLETED,2013-10,"Arthritis, Rheumatoid, Spondylarthritis, Vasculitis",Hepatitis A vaccine and tetanus vaccine,"Aarau - Switzerland, Basel - Switzerland, Basel - Switzerland, Bern - Switzerland, Bern - Switzerland, Geneva - Switzerland, Geneva - Switzerland, St. Gallen - Switzerland, Zürich - Switzerland, Zürich - Switzerland",2015-12,2013-09-20,2016-02-25,OBSERVATIONAL,Not Available,University of Zurich,OTHER,hepatitis
NCT01878565,Unknown,UNKNOWN,2013-06,Chronic Hepatitis B,"Drug, GM-CSF control",Beijing - China,2014-12,2013-06-17,2013-07-24,INTERVENTIONAL,PHASE2,Beijing 302 Hospital,OTHER,hepatitis
NCT02068365,Unknown,COMPLETED,2013-06,Chronic Hepaititis B,Pegyinterferon-alfa-2a,Sha Tin - Hong Kong,2019-06,2014-02-21,2019-07-31,INTERVENTIONAL,PHASE4,Chinese University of Hong Kong,OTHER,hepatitis
NCT01371162,Unknown,COMPLETED,2011-06,"Hepatitis C, Chronic, Healthy Volunteer","RO5428029, placebo","Montpellier - France, Strasbourg - France, Leiden - Netherlands, Chorzow - Poland, Warsaw - Poland, Wrocław - Poland",2011-12,2011-06-10,2016-11-02,INTERVENTIONAL,PHASE1,Hoffmann-La Roche,INDUSTRY,hepatitis
NCT02356562,Unknown,COMPLETED,2015-02-03,Chronic Hepatitis C Infection,"ombitasvir/paritaprevir/ritonavir and dasabuvir, Sofosbuvir, Ribavirin",No locations listed,2016-10-28,2015-02-05,2017-12-20,INTERVENTIONAL,PHASE2,AbbVie,INDUSTRY,hepatitis
NCT00798460,Unknown,TERMINATED,2008-12,Chronic Hepatitis B,"adefovir, clevudine, lamivudine","Goyang - Korea, Republic of",2010-06,2008-11-26,2011-06-23,INTERVENTIONAL,PHASE4,Inje University,OTHER,hepatitis
NCT02940691,DARLO-C,TERMINATED,2017-05-01,Hepatitis C,Grazoprevir/elbasvir,"Darlinghurst - Australia, Darlinghurst - Australia, Darlinghurst - Australia, Kingswood - Australia, Newcastle - Australia",2018-11-01,2016-10-21,2020-03-09,INTERVENTIONAL,PHASE4,Kirby Institute,OTHER_GOV,hepatitis
NCT01766960,Unknown,COMPLETED,2012-11,Fatty Liver,"High fat meal, Morphine",Chapel Hill - United States,2014-03,2013-01-11,2016-03-03,INTERVENTIONAL,PHASE1,"University of North Carolina, Chapel Hill",OTHER,hepatitis
NCT03776760,SCALE-C,UNKNOWN,2019-05-28,"Hepatitis C, Hepatitis, Liver Diseases, Hepatitis, Viral, Human, RNA Virus Infections, Digestive System Diseases","Fingerstick GeneXpert HCV RNA quantitative assay, sofosbuvir/velpatesvir, glecaprevir/pibrentasvir","Lismore - Australia, Quirindi - Australia, Mount Gambier - Australia, Port Lincoln - Australia",2022-08,2018-12-17,2022-04-14,OBSERVATIONAL,Not Available,Kirby Institute,OTHER_GOV,hepatitis
NCT04036760,Unknown,COMPLETED,2015-05,Hepatitis C,Research transitional care coordination,New York - United States,2017-04,2019-07-30,2019-07-31,OBSERVATIONAL,Not Available,NYU Langone Health,OTHER,hepatitis
NCT05265026,FitLiver,COMPLETED,2022-03-14,"Hepatitis B, Chronic, Hepatic Steatosis",High Intensity Interval Training,Copenhagen - Denmark,2023-09-30,2022-03-03,2023-10-27,INTERVENTIONAL,NA,"Rigshospitalet, Denmark",OTHER,hepatitis
NCT00751426,Unknown,COMPLETED,1999-08,"Mental Disorders, Drug Addiction",No interventions listed,Munich - Germany,2002-02,2008-09-12,2008-09-12,OBSERVATIONAL,Not Available,"Charite University, Berlin, Germany",OTHER,hepatitis
NCT06325826,Unknown,ACTIVE_NOT_RECRUITING,2022-02-01,Hepatocellular Carcinoma,General Evaluation Score (GES),Talkha - Egypt,2023-06-30,2024-03-22,2024-03-26,OBSERVATIONAL,Not Available,Egyptian Liver Hospital,OTHER,hepatitis
NCT03781726,MYTHIC,COMPLETED,2019-04-10,"Renal Failure Chronic, Hepatitis C",glecaprevir/pibrentasvir treatment,"Chicago - United States, Baltimore - United States, Boston - United States, Ann Arbor - United States, New York - United States, Cincinnati - United States, Philadelphia - United States",2020-03-20,2018-12-20,2022-01-26,INTERVENTIONAL,PHASE4,Raymond Chung,OTHER,hepatitis
NCT00881582,Unknown,COMPLETED,2009-01,"Chronic Hepatitis C, Renal Transplant",Pegylated interferon alfa-2a plus ribavarin,"Riyadh - Saudi Arabia, Riyadh - Saudi Arabia",2011-12,2009-04-15,2012-09-14,INTERVENTIONAL,PHASE4,King Abdulaziz Medical City,OTHER_GOV,hepatitis
NCT05678582,Unknown,COMPLETED,2023-01-01,Chronic Hepatitis,Liver biopsy,Sohag - Egypt,2023-06-30,2023-01-10,2023-07-21,OBSERVATIONAL,Not Available,Sohag University,OTHER,hepatitis
NCT00641082,Unknown,COMPLETED,2008-02,HBeAg(-) Chronic Hepatitis B With Compensated Liver Function,"Clevudine, Adefovir dipivoxil","Bundang - Korea, Republic of, Seoul - Korea, Republic of",2012-03,2008-03-21,2012-04-25,INTERVENTIONAL,PHASE4,Bukwang Pharmaceutical,INDUSTRY,hepatitis
NCT00956982,Unknown,UNKNOWN,2004-12,Hepatitis C Virus,Pegylated interferon alpha-2b plus ribavirin,Fukuoka - Japan,2008-07,2009-08-11,2009-08-11,INTERVENTIONAL,NA,Kyushu University,OTHER,hepatitis
NCT00998426,Unknown,COMPLETED,2009-10,Hepatitis B,"glucose monitoring before and after HepaGam B administration, HepaGam B (Hepatitis B Immune Globulin (HBIG))",Washington - United States,2011-09,2009-10-20,2015-09-28,INTERVENTIONAL,PHASE4,Georgetown University,OTHER,hepatitis
NCT06290726,Unknown,COMPLETED,2002-02,Living Donor Liver Transplantations With Anti-HBc (+) Grafts,No interventions listed,No locations listed,2016-02,2024-03-04,2024-03-05,OBSERVATIONAL,Not Available,Chang Gung Memorial Hospital,OTHER,hepatitis
NCT05861674,Unknown,ENROLLING_BY_INVITATION,2023-06-16,Chronic Hepatitis Delta Virus Infection,"HH-003(20mg/kg), HH-003(10mg/kg), TAF",Beijing - China,2024-07-18,2023-05-17,2024-10-10,INTERVENTIONAL,PHASE2,Huahui Health,INDUSTRY,hepatitis
NCT00057265,Unknown,COMPLETED,2003-02,Chronic Hepatitis B,telbivudine or lamivudine,"Los Angeles - United States, Orange - United States, San Diego - United States, Hackensack - United States, Houston - United States, Seoul - Korea, Republic of, Barcelona - Spain, Valencia - Spain, Bangkok - Thailand, Istanbul - Turkey, London - United Kingdom",2006-04,2003-03-31,2015-03-20,INTERVENTIONAL,PHASE3,Novartis,INDUSTRY,hepatitis
NCT01214226,CorpentoxHAA,COMPLETED,2007-12,"Alcoholic Hepatitis, Alcoholic Liver Disease","Pentoxifylline, placebo","Brussel - Belgium, Angers - France, Bondy - France, Bordeaux - France, Béthune - France, Caen - France, Clamart - France, Clichy - France, Creil - France, Créteil - France, Dunkerque - France, Lens - France, Lille - France, Maubeuge - France, Montpellier - France, Nantes - France, Nice - France, Paris - France, Paris - France, Paris - France, Poitiers - France, Rennes - France, Roubaix - France, Strasbourg - France, Tourcoing - France, Valenciennes - France, Vandoeuvre les nancy - France, Villejuif - France",2010-12,2010-10-04,2011-06-01,INTERVENTIONAL,PHASE3,"University Hospital, Lille",OTHER,hepatitis
NCT06745973,Unknown,NOT_YET_RECRUITING,2024-12-20,Chronic Hepatitis B,EPI-003,Shanghai - China,2026-12-31,2024-12-24,2024-12-24,INTERVENTIONAL,PHASE1,"Epigenic Therapeutics, Inc",INDUSTRY,hepatitis
NCT00226382,Unknown,COMPLETED,2005-01,Chronic Hepatitis B,Pegylated Interferon-alfa-2a,Hong Kong SAR - China,2008-04,2005-09-27,2010-06-11,INTERVENTIONAL,PHASE4,Chinese University of Hong Kong,OTHER,hepatitis
NCT03567382,AVERT-HBV,COMPLETED,2018-09-24,"Hepatitis B, Vertical Transmission of Infectious Disease","Tenofovir Disoproxil Fumarate, Monovalent HBV vaccine","Kinshasa - Congo, The Democratic Republic of the",2020-03-06,2018-06-25,2021-02-24,INTERVENTIONAL,PHASE4,"University of North Carolina, Chapel Hill",OTHER,hepatitis
NCT04195282,Unknown,UNKNOWN,2019-12,"Hepatitis B, Acute-On-Chronic Liver Failure","Plasma exchange, RL-1 Novel Human-derived Bio-artificial Liver Treatment",Guangzhou - China,2021-12,2019-12-11,2019-12-11,INTERVENTIONAL,NA,"Third Affiliated Hospital, Sun Yat-Sen University",OTHER,hepatitis
NCT02319031,Unknown,COMPLETED,2015-02,Hepatitis C,"Daclatasvir, Sofosbuvir, Ribavirin","Darlinghurst - Australia, Greenslopes - Australia, Adelaide - Australia, Clayton - Australia, Fitzroy - Australia, Heidelberg - Australia, Creteil Cedex - France, Grenoble Cedex 09 - France, Paris Cedex 14 - France, Vandoeuvre Les Nancy - France",2015-10,2014-12-18,2017-01-27,INTERVENTIONAL,PHASE3,Bristol-Myers Squibb,INDUSTRY,hepatitis
NCT01121731,Unknown,COMPLETED,2010-05,"Chronic Hepatitis C Virus Infection, Genotype 1, Treatment-Experienced Patients, Relapses","Interferon α-5, Interferon-α5 plus Interferon-α 2b, Interferon α-2b (INTRON® A)","A Coruña - Spain, Barcelona - Spain, Barcelona - Spain, Barcelona - Spain, Barcelona - Spain, Granada - Spain, León - Spain, Madrid - Spain, Madrid - Spain, Madrid - Spain, Madrid - Spain, Madrid - Spain, Pamplona - Spain, Santander - Spain, Sevilla - Spain",2012-10,2010-05-12,2013-02-05,INTERVENTIONAL,PHASE2,Digna Biotech S.L.,INDUSTRY,hepatitis
NCT00440531,Unknown,COMPLETED,2006-11,Hepatitis B,"Comparator: RECOMBIVAX HB™ Hepatitis B Vaccine (Recombinant), Comparator: Modified Process Hepatitis B Vaccine (Experimental), Comparator: ENGERIX-B™ (currently licensed product)",No locations listed,2007-11,2007-02-27,2017-04-13,INTERVENTIONAL,PHASE3,Merck Sharp & Dohme LLC,INDUSTRY,hepatitis
