pubmed_id,title,keywords,journal,abstract,methods,results,conclusions,copyrights,doi,publication_date,authors
40044457,"Changes in Loneliness, Social Isolation, and Social Support: A Gender-Disaggregated Analysis of Their Associations With Dementia and Cognitive Decline in Older Adults.","cognitive decline, cognitive dysfunction, dementia, loneliness, social determinants of health, social isolation, social support",International journal of geriatric psychiatry,"Limited evidence exists on the gender-specific impact of changes in loneliness, social isolation, and social support on dementia risk. We examined these changes and their relationships with dementia and cognitive decline.
Data from over 12,000 community-dwelling Australians aged 70+ years without significant cognitive impairment at enrolment were analysed. Loneliness, social isolation, and social support were self-reported at baseline and ∼2 years later (social isolation and social support) or ∼3 years later (loneliness), classified as never, transient, incident, or persistent. Dementia diagnosis followed DSM-IV criteria, adjudicated by an expert panel. Gender-disaggregated Cox proportional hazards regressions were conducted, adjusting for age and other dementia risk factors.
At baseline, participants were aged 70-95 years (mean: 75.2 ± 4.3), with 54% being women. Overall, 81.1% of men and 71.7% of women reported never feeling lonely at baseline, while transient, incident, and persistent loneliness were experienced by 4.9%, 8.4%, and 5.5% of men and 8.5%, 11.6%, and 8.3% of women, respectively. Over a median 8-year follow-up, incident loneliness in men (HR: 1.52, 95% CI: 1.08-2.13) and persistent loneliness in women (HR: 2.14, 95% CI: 1.55-2.97) were associated with a greater dementia risk, compared to those who were never lonely. No increased risk was observed for transient loneliness. Despite the remarkably low prevalence of social isolation and poor social support in this initially healthy cohort, both were associated with cognitive decline (secondary outcome) but not with dementia risk.
Persistent loneliness in people aged 70+, especially in women, was associated with a higher risk of dementia and cognitive decline.",,"At baseline, participants were aged 70-95 years (mean: 75.2 ± 4.3), with 54% being women. Overall, 81.1% of men and 71.7% of women reported never feeling lonely at baseline, while transient, incident, and persistent loneliness were experienced by 4.9%, 8.4%, and 5.5% of men and 8.5%, 11.6%, and 8.3% of women, respectively. Over a median 8-year follow-up, incident loneliness in men (HR: 1.52, 95% CI: 1.08-2.13) and persistent loneliness in women (HR: 2.14, 95% CI: 1.55-2.97) were associated with a greater dementia risk, compared to those who were never lonely. No increased risk was observed for transient loneliness. Despite the remarkably low prevalence of social isolation and poor social support in this initially healthy cohort, both were associated with cognitive decline (secondary outcome) but not with dementia risk.","Persistent loneliness in people aged 70+, especially in women, was associated with a higher risk of dementia and cognitive decline.",© 2025 The Author(s). International Journal of Geriatric Psychiatry published by John Wiley & Sons Ltd.,10.1002/gps.70065,2025-03-06,"Htet Lin Htun, Achamyeleh Birhanu Teshale, Haoxiong Sun, Joanne Ryan, Alice J Owen, Robyn L Woods, Raj C Shah, Trevor T-J Chong, Rosanne Freak-Poli"
40042495,Demographic and clinical characteristics of initial patients receiving amyloid-targeting treatments in the United States after regulatory approval.,"Alzheimer's disease, Medicare, access to care, amyloid‐targeting treatment, disparities, dually eligible",Alzheimer's & dementia : the journal of the Alzheimer's Association,"Three treatments for Alzheimer's disease have been approved in the United States. Data are lacking on the characteristics of the initial treatment recipients.
We identified treatment recipients in the full Medicare fee-for-service data for 2021 to 2023. We compared their age, sex, race/ethnicity, dual eligibility, comorbidities, and median household income and educational attainment in their residence's ZIP Code Tabulation Area (ZCTA) to those of the overall Medicare population aged 65+.
Treated patients were more likely to be non-Hispanic White (89% vs 82%) and less likely to be dually eligible (1% vs 8.8%). Average median household income ($97,136 vs $84,449) and proportion of residents with at least a bachelor's degree (41% vs 31%) were higher in treated patients' ZCTAs.
The first patients receiving amyloid-targeting treatment represent a more privileged subset. While needing to be confirmed with more data, these results point to the need for efforts to make access more equitable.
Little is known about the initial 924 patients receiving amyloid-targeting treatments in the United States from 2021 to 2023. They were more likely to be White and less likely to be dually eligible than the Medicare population. They resided in wealthier and more highly educated areas. Comorbidity burden was similar to that observed in clinical trials. Those initial results point to the need to improve equitable access to treatment.",,"Treated patients were more likely to be non-Hispanic White (89% vs 82%) and less likely to be dually eligible (1% vs 8.8%). Average median household income ($97,136 vs $84,449) and proportion of residents with at least a bachelor's degree (41% vs 31%) were higher in treated patients' ZCTAs.",,© 2025 The Author(s). Alzheimer's & Dementia published by Wiley Periodicals LLC on behalf of Alzheimer's Association.,10.1002/alz.70054,2025-03-05,"Soeren Mattke, Selena Yue, Andrew Becker, Ying Liu"
40042468,Burden and care time for dementia caregivers in the LIVE@Home.Path trial.,"care coordination, caregiver burden, dementia, resource use, stepped wedge randomized controlled trial",Alzheimer's & dementia : the journal of the Alzheimer's Association,"We investigated the effectiveness of the multicomponent learning, innovation, volunteer support, empowerment (LIVE) intervention on caregiver burden and care time in dyads of home-dwelling people with dementia and caregivers.
A 24 month, multicenter, stepped-wedge trial, randomized dyads to receive the 6-month LIVE intervention by municipal coordinators (May 2019 to December 2021). Primary outcomes were caregiver burden assessed by Relative Stress Scale (RSS) and informal care time spent on personal activities assessed by Resource Utilization in Dementia Personal Activities of Daily Living (RUD-PADL). Analyses used an intention-to-treat.
Two hundred eighty dyads were enrolled. Caregivers during the intervention period reported lower levels of RSS of 0.7 points (standard deviation [SD]: 0.8) compared to the caregivers in the control period. Caregivers during the intervention period reported more time spent on PADL of 11.7 hours/month (SD: 8.7) compared to caregivers during the control period; both were not statistically significant (P > 0.05).
The LIVE intervention did not reduce caregiver burden or care time.
ClinicalTrials.gov NCT04043364.
Two hundred eighty persons with dementia and caregivers were included in a stepped wedge randomized controlled trial. We used the learning, innovation, volunteer support, empowerment (LIVE) intervention. The LIVE intervention did not reduce caregiver burden or informal care time. The LIVE intervention improved the caregiver's clinical global impression of change. Positive change was most pronounced for coordinator personalized support.","A 24 month, multicenter, stepped-wedge trial, randomized dyads to receive the 6-month LIVE intervention by municipal coordinators (May 2019 to December 2021). Primary outcomes were caregiver burden assessed by Relative Stress Scale (RSS) and informal care time spent on personal activities assessed by Resource Utilization in Dementia Personal Activities of Daily Living (RUD-PADL). Analyses used an intention-to-treat.",Two hundred eighty dyads were enrolled. Caregivers during the intervention period reported lower levels of RSS of 0.7 points (standard deviation [SD]: 0.8) compared to the caregivers in the control period. Caregivers during the intervention period reported more time spent on PADL of 11.7 hours/month (SD: 8.7) compared to caregivers during the control period; both were not statistically significant (P > 0.05).,,© 2025 The Author(s). Alzheimer's & Dementia published by Wiley Periodicals LLC on behalf of Alzheimer's Association.,10.1002/alz.14622,2025-03-05,"Line Iden Berge, Renira Corinne Angeles, Marie Hidle Gedde, Stein Erik Fæø, Janne Mannseth, Maarja Vislapuu, Natalie Genevieve Søyland Puaschitz, Eirin Hillestad, Dag Aarsland, Wilco Peter Achterberg, Heather Allore, Clive Ballard, Fan Li, Geir Selbæk, Ipsit Vihang Vahia, Bettina Sandgate Husebo"
40042447,Polygenic score integrating neurodegenerative and vascular risk informs dementia risk stratification.,"apolipoprotein E genotype, community‐dwelling elderly, competing risk analysis, dementia prevention, incident dementia, longitudinal study, memory clinic, multi‐ancestry biobank, polygenic risk score, transportability of PRS, vascular cognitive impairment",Alzheimer's & dementia : the journal of the Alzheimer's Association,"An integrative polygenic risk score (iPRS) capturing the neurodegenerative and vascular contribution to dementia could identify high-risk individuals and improve risk prediction.
We developed an iPRS for dementia (iPRS-DEM) in Europeans (aged 65+), comprising genetic risk for Alzheimer's disease (AD) and 23 vascular or neurodegenerative traits (excluding apolipoprotein E [APOE]). iPRS-DEM was evaluated across cohorts comprising older community-dwelling people (N = 3702), a multi-ancestry biobank (N = 130,797 Europeans; 105,404 non-Europeans), and dementia-free memory clinic participants (N = 2032).
iPRS-DEM was associated with dementia risk independently of APOE in the elderly (subdistribution hazard ratio [sHR]
Alongside APOE ε4, iPRS-DEM may refine risk stratification for the enrichment of dementia clinical trials and prevention programs.
iPRS-DEM reflects neurodegenerative and vascular contribution to dementia. We show iPRS-DEM captures additional dementia genetic risk beyond APOE and AD-PRS. iPRS-DEM, in combination with APOE ε4, shows promise for dementia risk stratification. Our results generalize across both population-based and memory-clinic settings. We show transportability of iPRS-DEM to East Asian ancestry.",,iPRS-DEM was associated with dementia risk independently of APOE in the elderly (subdistribution hazard ratio [sHR],,© 2025 The Author(s). Alzheimer's & Dementia published by Wiley Periodicals LLC on behalf of Alzheimer's Association.,10.1002/alz.70014,2025-03-05,"Tim D'Aoust, Santiago Clocchiatti-Tuozzo, Cyprien A Rivier, Aniket Mishra, Tsuyoshi Hachiya, Benjamin Grenier-Boley, Aïcha Soumaré, Marie-Gabrielle Duperron, Quentin Le Grand, Vincent Bouteloup, Cécile Proust-Lima, Cécilia Samieri, Jeanne Neuffer, Muralidharan Sargurupremraj, Geneviève Chêne, Catherine Helmer, Mura Thibault, Philippe Amouyel, Jean-Charles Lambert, Yoichiro Kamatani, Hélène Jacqmin-Gadda, David-Alexandre Tregouët, Michael Inouye, Carole Dufouil, Guido J Falcone, Stéphanie Debette"
40040623,Prevention of concussion and long-term effects of repetitive traumatic brain injury: Unanimous consensus from the Cantu Concussion Summit.,,"PM & R : the journal of injury, function, and rehabilitation","The Cantu Concussion Summit aimed to gather clinicians and researchers to share findings and identify research gaps in brain injury and long-term cognitive disorders in athletes.
The conference concluded with a discussion of ways to best mitigate the risk of concussion and repetitive traumatic brain injury (RTBI).
The summit was supported by an unrestricted educational grant from the National Football League and featured a diverse group of experts from multiple disciplines.
N/A.
This discussion resulted in unanimous agreement supporting six consensus statements aimed at enhancing player safety and health.
These consensus statements are as follows: (1) Eliminate intentional and avoidable head impacts in sports practices and games. (2) Encourage policies that limit the number, duration, and intensity of head impacts during sports practices and games. (3) Reinforce proper and safer techniques to avoid head contact at all levels of play. (4) Implement rules that reduce and penalize intentional and avoidable contact to the head and neck. (5) Investigate specific clinical signs and symptoms associated with chronic traumatic encephalopathy neuropathology through further research. (6) Improve the criteria for traumatic encephalopathy syndrome through continued research.
These consensus statements highlight opportunities to advance the understanding and prevention of concussions and RTBI, by emphasizing the need for ongoing research and policy changes to safeguard athletes' health and well-being. Implementation of these changes would reduce the burden of brain injuries in sports, promoting a safer environment for athletes at all levels.",,"These consensus statements are as follows: (1) Eliminate intentional and avoidable head impacts in sports practices and games. (2) Encourage policies that limit the number, duration, and intensity of head impacts during sports practices and games. (3) Reinforce proper and safer techniques to avoid head contact at all levels of play. (4) Implement rules that reduce and penalize intentional and avoidable contact to the head and neck. (5) Investigate specific clinical signs and symptoms associated with chronic traumatic encephalopathy neuropathology through further research. (6) Improve the criteria for traumatic encephalopathy syndrome through continued research.",,© 2025 American Academy of Physical Medicine and Rehabilitation.,10.1002/pmrj.13332,2025-03-05,"Robert C Cantu, Allen K Sills, Michael L Alosco, Kristy B Arbogast, Jeffrey J Bazarian, Kevin F Bieniek, Jeff R Crandall, Grant L Iverson, Douglas I Katz, C Dirk Keene, John J Leddy, Christina D Mack, Ann C McKee, William P Meehan, Jesse Mez, Christopher J Nowinski, David O Okonkwo, Gary S Solomon, Thor D Stein, M Carmela Tartaglia, Ross D Zafonte, Daniel H Daneshvar"
40036319,Impact of frailty status on the effect of a multidomain lifestyle intervention on cognition.,"cognition, frailty, lifestyle intervention, older people, prefrailty",Age and ageing,"Frailty often precedes and co-occurs with dementia. A multidomain lifestyle intervention has shown favourable effects on cognition. We aimed to investigate if frailty status modifies this intervention effect.
The Finnish Geriatric Intervention Study to Prevent Cognitive Impairment and Disability (FINGER) recruited 1259 participants aged 60-77 years who were at risk of dementia. They were randomised to receive a multidomain intervention (diet, exercise, cognitive training and vascular risk monitoring) or regular health advice for two years. The outcome was a change in cognition (neuropsychological test battery composite score). Frailty and prefrailty were defined according to the Fried phenotype. Mixed models were used to investigate if frailty status at baseline modified the intervention effect on cognition.
Frailty status (prefrail/frail n = 520, robust n = 625) at baseline did not modify the effect of intervention on global cognition during the 2-year follow-up (P-value for frailty × intervention × time interaction > .05). Concerning cognitive subdomains, similar results were found. Among prefrail/frail persons, within-group analyses suggested a beneficial intervention effect on executive function and processing speed and also on global cognition when frail participants (n = 15) were excluded from the analyses. Being prefrail/frail was related to less improvement in global cognition, memory and executive function domains compared with being robust when intervention was not taken into consideration.
A multidomain intervention is likely to be beneficial to cognition regardless of frailty status. Prefrail participants seemed particularly responsive to preventive intervention. Thus, an optimal time for a multidomain lifestyle intervention may be at the prefrailty stage.",,"Frailty status (prefrail/frail n = 520, robust n = 625) at baseline did not modify the effect of intervention on global cognition during the 2-year follow-up (P-value for frailty × intervention × time interaction > .05). Concerning cognitive subdomains, similar results were found. Among prefrail/frail persons, within-group analyses suggested a beneficial intervention effect on executive function and processing speed and also on global cognition when frail participants (n = 15) were excluded from the analyses. Being prefrail/frail was related to less improvement in global cognition, memory and executive function domains compared with being robust when intervention was not taken into consideration.",,© The Author(s) 2025. Published by Oxford University Press on behalf of the British Geriatrics Society.,10.1093/ageing/afaf041,2025-03-04,"Johanna Pöyhönen, Jenni Lehtisalo, Hanna-Maria Roitto, Esko Levälahti, Timo Strandberg, Miia Kivipelto, Jenni Kulmala, Riitta Antikainen, Hilkka Soininen, Jaakko Tuomilehto, Tiina Laatikainen, Tiia Ngandu"
40034790,Harnessing Greater Statistical Power: Comprehensive Evaluation of Disease Modifying Treatment Effects Across All or Multiple Post-Baseline Visits Compared to the Last Visit for Alzheimer's Disease Clinical Trials.,,medRxiv : the preprint server for health sciences,"In Alzheimer's disease (AD) clinical trials, efficacy inference is traditionally based on the last visit (e.g., 18 months). However, recent studies suggest that disease-modifying treatment effects may emerge as early as 3 months post-baseline.
To explore this further, our study aimed to assess the increased statistical power achieved by incorporating all or multiple post-baseline visits to estimate treatment effect, compared to relying solely on the last visit.
We developed explicit formulas for the base functions of the natural cubic spline model, ensuring compatibility with standard SAS procedures. Through simulations using disease progression trajectories from ClarityAD and TRAILBLAZER-ALZ2 trials, we comprehensively evaluated various models in terms of power and type I error. Additionally, we offer SAS codes that to facilitate seamless implementation of different modeling approaches.
Simulations based on ClarityAD and TRAILBLAZER-ALZ2 disease trajectories demonstrated that models incorporating multiple or all post-baseline visits yield greater power than those using only the last visit, while maintaining Type I error control. Furthermore, when three post-baseline visits were included, adding more visits resulted in minimal power gains.
Our findings support prioritizing statistical models that incorporate multiple or all post-baseline visits for treatment efficacy inference, as they offer greater efficiency than models relying solely on the last visit.",,"Simulations based on ClarityAD and TRAILBLAZER-ALZ2 disease trajectories demonstrated that models incorporating multiple or all post-baseline visits yield greater power than those using only the last visit, while maintaining Type I error control. Furthermore, when three post-baseline visits were included, adding more visits resulted in minimal power gains.",,,10.1101/2025.02.18.25322498,2025-03-04,"Guoqiao Wang, Tianle Chen, John O'Gorman, Yan Li, Caiyan Li, Leonard Guizzetti, Brian Mangal, Whedy Wang, Shuang Wu, Dave Inman, Eric McDade, Randall J Bateman"
40034778,Clinical Progression on CDR-SB,"Alzheimer disease, CDR-SB, Progression-free time, clinically meaningful interpretation, disease progression model",medRxiv : the preprint server for health sciences,"CDR-SB is a reliable and clinically meaningful composite for assessing treatment effects in Alzheimer's disease (AD) clinical trials. Small CDR-SB differences at the end of a trial often lead to controversy in deriving clinically meaningful interpretations.
We estimated progression-free time participants remained at each 0.5-unit CDR-SB increment in dominantly inherited AD (DIAD) and sporadic AD populations, evaluating its potential as an alternative measure of treatment effects.
Progression-free time is longer at CDR-SB ≤ 2.0 (1-2 years) and shorter at CDR-SB ≥ 5 (0.33 or less) in the ADNI cohort. The DIAD cohort showed similar but shorter times. Using progression-free time, continuous lecanemab treatment for three years is estimated to delay disease progression by 0.7 years in the sporadic population.
Progression-free time provides a benchmark for expressing clinical progression and treatment effects and can be applied particularly during open-label extensions and single-arm trials without placebo comparisons.",,"Progression-free time is longer at CDR-SB ≤ 2.0 (1-2 years) and shorter at CDR-SB ≥ 5 (0.33 or less) in the ADNI cohort. The DIAD cohort showed similar but shorter times. Using progression-free time, continuous lecanemab treatment for three years is estimated to delay disease progression by 0.7 years in the sporadic population.",,,10.1101/2025.02.17.25322322,2025-03-04,"Guoqiao Wang, Yan Li, Eric McDade, Chengjie Xiong, Sarah M Hartz, Randall J Bateman, John C Morris, Lon S Schneider"
40034530,Pivotal trial of low-intensity pulsed ultrasound therapy for early Alzheimer's disease: Rationale and design.,"Alzheimer's disease, endothelial nitric oxide synthase, low-intensity pulsed ultrasound, medical device",Journal of Alzheimer's disease reports,"There are lines of evidence suggesting that cerebral microcirculatory dysfunction is involved in the pathogenesis of Alzheimer's disease (AD). We have developed a low-intensity pulsed ultrasound (LIPUS) therapy that upregulates endothelial NO synthase with therapeutic angiogenesis. We demonstrated that the LIPUS therapy ameliorates cognitive declines in mouse models of AD and tended to do so in patients with early AD (mild AD and mild cognitive impairment due to AD) in the pilot trial. Thus, the Japanese government has designated our LIPUS device as the first breakthrough medical device in Japan.
We are performing a pivotal clinical trial (LIPUS-AD) to finally address the efficacy and safety of our LIPUS therapy in patients with early AD in Japan.
LIPUS-AD is a randomized, double-blind, placebo-controlled trial, in which a total of 220 patients with early AD, who are positive for amyloid-β (Aβ) PET, will be randomized in a 1:1 fashion. The LIPUS therapy is performed for the whole brain for one hour 3 times a week as one session under the special conditions (32 cycles, 0.5 MHz, 0.25 W/cm
LIPUS-AD addresses efficacy and safety of the LIPUS therapy in patients with early AD.Clinical Trial Gov. No.: NCT05983575.",,,,© The Author(s) 2025.,10.1177/25424823241312108,2025-03-04,"Hiroaki Shimokawa, Masahiro Akishita, Masafumi Ihara, Satoshi Teramukai, Aiko Ishiki, Yoji Nagai, Masanori Fukushima"
40034502,The causal role of lipids in dementia: A Mendelian randomization study.,"Alzheimer's disease, Mendelian randomization, dementia, instrumental variables, lipids, liposomes",Journal of Alzheimer's disease reports,"Increasing evidence suggests that abnormal lipid metabolism is one of the pathogeneses of dementia. It is necessary to reveal the relationship between lipids and dementia.
This study used bidirectional two-sample Mendelian randomization to explore the causal relationship between 179 lipid species and the risk of dementia.
We assessed the causal effects of 179 lipid species and four subtypes of dementia including Alzheimer's disease (AD), vascular dementia (VaD), frontotemporal dementia (FTD), and dementia with Lewy bodies (DLB). Inverse variance weighting, MR-Egger method, weighted median, simple mode, and weighted mode were used to analyze the relationship between lipids and dementia. Cochran's Q, MR-Egger intercept test, and MR-PRESSO test were used to test the heterogeneity and pleiotropy of the results. In addition, we performed an inverse MR analysis testing the causal effects of dementia on lipids.
Our study revealed causal effects of glycerophospholipid, glycerolipid, and sterol on the risk of dementia. Phosphatidylcholine, phosphatidylinositol, and triglycerides play significant roles in AD. Notably, phosphatidylcholine played a protective role in both FTD and DLB. However, this study did not observe a significant effect of phosphatidylinositol on FTD. In the case of VaD, not only glycerophospholipid, but also glycerolipid, exerted an influence, but sterol was also a risk factor.
Our study provided new evidence supporting the causal role of genetically predicted lipid species in dementia. Future clinical trials are necessary to evaluate the potential role of lipid levels in dementia prevention.",,"Our study revealed causal effects of glycerophospholipid, glycerolipid, and sterol on the risk of dementia. Phosphatidylcholine, phosphatidylinositol, and triglycerides play significant roles in AD. Notably, phosphatidylcholine played a protective role in both FTD and DLB. However, this study did not observe a significant effect of phosphatidylinositol on FTD. In the case of VaD, not only glycerophospholipid, but also glycerolipid, exerted an influence, but sterol was also a risk factor.",,© The Author(s) 2025.,10.1177/25424823241312106,2025-03-04,"Boyang Su, Zhengqing He, Li Mao, Xusheng Huang"
40034447,Does an Audio Wearable Lead to Agitation Reduction in Dementia: The Memesto AWARD Proof-of-Principle Clinical Research Study.,"Alzheimer’s Disease and Related Dementias, agitation, device, residential care facilities",Research square,"Agitation is a common behavioral symptom in persons living with Alzheimer's disease and Alzheimer's disease-related dementias (AD/ADRD), especially in the setting of residential care. Pharmacologic and non-pharmacologic interventions are limited. Memesto is a wearable audio device designed to provide messages and music that can be scheduled or played on demand. The objective of this proof-of-principle study was to quantify whether Memesto can reduce agitation in persons with AD/ADRD.
Persons living with AD/ADRD with a Clinical Global Impressions-Severity (CGI-S) average score of 4 or greater, one informal caregiver, and one formal caregiver (triad) were recruited from residential care facilities in the Midwest region of the United States. After consent and a two-week training period, the triad was monitored every two weeks from Baseline to Week 10 with the Neuropsychiatric Inventory (NPI) agitation domain subscale (primary endpoint) and the CGI-S scale (secondary endpoint) with the last observation carried forward. The average score on the NPI agitation domain subscale and the CGI-S scale at Baseline and Week 10 as rated by the two caregivers were compared. A 30% drop in the NPI agitation domain subscale in 50% of the persons living with AD/ADRD was considered a clinically meaningful finding.
Over thirteen months of recruitment, 9 triads were identified in 6 residential care facilities in three Midwestern states. For the NPI agitation domain, 6 of 9 (67%) persons with AD/ADRD had a 30% reduction in the average caregiver ratings at Week 10. No adverse events were identified associated with the use of the device. Device usability was rated as positive based on a survey.
This study provided quantitative data on psychometrically sound agitation scales regarding a 10-week treatment course with Memesto after a two-week training period. The results were limited by the inability to recruit the desired set of 20 triads due to disruptions in care and staff at residential care facilities. Further effectiveness testing in a larger cohort with a sham control device is necessary.
www.clinicaltrials.gov. NCT05153161. First posted December 10, 2021.",,"Over thirteen months of recruitment, 9 triads were identified in 6 residential care facilities in three Midwestern states. For the NPI agitation domain, 6 of 9 (67%) persons with AD/ADRD had a 30% reduction in the average caregiver ratings at Week 10. No adverse events were identified associated with the use of the device. Device usability was rated as positive based on a survey.",,,10.21203/rs.3.rs-6008628/v1,2025-03-04,"Raj Shah, Santosh Basapur, Kirsten Hendrickson, Julie Anderson, Jamie Plenge, Amelia Troutman, Eukesh Ranjit, Jeff Banker"
40034353,"Synergistic activity of nootropic herbs as potent therapeutics for Alzheimer's disease: A cheminformatics, pharmacokinetics, and system pharmacology approach.","Alzheimer's disease, acetylcholinesterase, amyloid-β protein precursor, cheminformatics, neurodegenerative disorder, pharmacokinetics",Journal of Alzheimer's disease reports,"Alzheimer's disease (AD) is a progressive neurodegenerative disorder, which subdues over 55 million people and finding a cure, still remains disenchanting. Indian medicinal herbs notably, 
We computationally investigated the therapeutic potential of four nootropic herbs by uncovering the molecular mechanisms underlying their treatment for AD.
Cheminformatics, pharmacokinetics, and system pharmacology studies were carried out to predict the phytocompounds drug-like properties, protein targets, targets functional association and enrichment analysis. A comparative study was performed with phytocompounds and FDA-approved drugs. Investigation on the expression of protein targets in the hippocampus and entorhinal cortex of the AD brain was performed. Network was constructed to depict the interaction between phytocompounds, drugs, and molecular targets.
Through comparative analysis, we found that the phytocompounds shared common targets with both FDA drugs and drugs under clinical trials. We identified potential active compounds notably, Withaferin A, Withanolide-D, Withanolide-E, Withanolide-G, and Humulene epoxide II, that can combat AD. Interestingly, the enzyme inhibition scores of the identified drugs were much higher than FDA-approved drugs. In addition, regulatory proteins such as AβPP, acetylcholinesterase, BACE1, and PTPN1 were the targets of 8, 16, 9, and 22 phytocompounds, respectively. Nonetheless, AR and CYP19A, were the primary targets of most phytocompounds.
Herbal medicines can synergistically stimulate multiple protein targets, rendering a holistic and integrative treatment, encouraging a promising avenue to treat AD.",,"Through comparative analysis, we found that the phytocompounds shared common targets with both FDA drugs and drugs under clinical trials. We identified potential active compounds notably, Withaferin A, Withanolide-D, Withanolide-E, Withanolide-G, and Humulene epoxide II, that can combat AD. Interestingly, the enzyme inhibition scores of the identified drugs were much higher than FDA-approved drugs. In addition, regulatory proteins such as AβPP, acetylcholinesterase, BACE1, and PTPN1 were the targets of 8, 16, 9, and 22 phytocompounds, respectively. Nonetheless, AR and CYP19A, were the primary targets of most phytocompounds.",,© The Author(s) 2024.,10.1177/25424823241307019,2025-03-04,"Reiya Bosco Don Bosco, Johnson Retnaraj Samuel Selvan Christyraj, Beryl Vedha Yesudhason"
40033713,A retrospective analysis of ultrasound neuromodulation therapy using transcranial pulse stimulation in 58 dementia patients.,"Alzheimer’s disease, brain stimulation, dementia, neuromodulation, transcranial pulse stimulation, ultrasound",Psychological medicine,"Novel ultrasound neuromodulation techniques allow therapeutic brain stimulation with unmet precision and non-invasive targeting of deep brain areas. Transcranial pulse stimulation (TPS), a multifrequency sonication technique, is approved for the clinical treatment of Alzheimer's disease (AD). Here, we present the largest real-world retrospective analysis of ultrasound neuromodulation therapy in dementia (AD, vascular, mixed) and mild cognitive impairment (MCI).
The consecutive sample involved 58 patients already receiving state-of-the-art treatment in an open-label, uncontrolled, retrospective study. TPS therapy typically comprises 10 sessions (range 8-12) with individualized MRI-based target areas defined according to brain pathology and individual pathophysiology. We compared the CERAD-Plus neuropsychological test battery results before and after treatment, with the CERAD Corrected Total Score ( CTS) as the primary outcome. Furthermore, we analyzed side effects reported by patients during the treatment period.
CERAD Corrected Total Score (CTS) significantly improved (
The findings implicate TPS as a novel and safe add-on therapy for patients with dementia or MCI with the potential to further improve current state-of-the-art treatment results. Despite the individual benefits, further randomized, sham-controlled, longitudinal clinical trials are needed to differentiate the effects of verum and placebo.",,CERAD Corrected Total Score (CTS) significantly improved (,,,10.1017/S0033291725000406,2025-03-04,"Sonja Radjenovic, Lena Bender, Martin Gaal, Daria Grigoryeva, Michael Mitterwallner, Sarah Osou, Anna Zettl, Nina Plischek, Patrick Lachmair, Katrin Herzhauser, Eva Matt, Roland Beisteiner"
40025801,"Rational design, docking, simulation, synthesis, and ","Alzheimer’s disease, Atabecestat, Beta-secretase (BACE), Riluzole, benzothiazole",Journal of biomolecular structure & dynamics,"BACE-1 is an encouraging target for the development of AD therapeutics. However, many BACE-1 inhibitors failed clinical trials due to their non-selectivity towards BACE-2 or adverse effects. Herein, a set of 96 benzothiazoles were designed based on the structural features of Atabecestat and Riluzole to find a promising selective BACE-1 inhibitor. Out of the 96 designed compounds, compound 
The structure of Atabecestat and Riluzole was used to design benzothiazole derivatives.Compound ",,,,,10.1080/07391102.2025.2472402,2025-03-03,"Obaid Afzal, Mubarak A Alamri, Ali Altharawi, Manal A Alossaimi, Menshawy A Mohamed, Abdulmalik S A Altamimi, Hani Z Asfour, Nabil A Alhakamy, Ahmad Firoz"
40021094,Antioxidants in anti-Alzheimer's disease drug discovery.,"Alzheimer’s disease (AD), Determination of antioxidant capacity, Drug discovery and development, Oxidative stress",Ageing research reviews,"Oxidative stress is widely recognized as a key contributor to the pathogenesis of Alzheimer's disease (AD). While not the sole factor, it is closely linked to critical pathological features, such as the formation of senile plaques and neurofibrillary tangles. The development of agents with antioxidant properties has become an area of growing interest in AD research. Between 2015 and 2024, several antioxidant-targeted drugs for AD progressed to clinical trials, with increasing attention to the evaluation of antioxidant properties during their development. Oxidative stress plays a pivotal role in linking various AD hypotheses, underscoring its importance in understanding the disease mechanisms. Despite this, comprehensive reviews addressing advancements in AD drug development from the perspective of antioxidant capacity remain limited, hindering the design of novel compounds. This review aims to explore the mechanistic relationship between oxidative stress and AD, summarize methods for assessing antioxidant capacity, and provide an overview of antioxidant compounds with anti-AD properties reported over the past decade. The goal is to offer strategies for identifying effective antioxidant-based therapies for AD and to deepen our understanding of the role of oxidative stress in AD pathology.",,,,Copyright © 2025 Elsevier B.V. All rights reserved.,10.1016/j.arr.2025.102707,2025-03-01,"Jianan Guo, Yalan Zhu, Jia Zhi, Qiuwen Lou, Renren Bai, Yiling He"
