NCT ID,Acronym,Overall Status,Start Date,Conditions,Interventions,Locations,Primary Completion Date,Study First Post Date,Last Update Post Date,Study Type,Phases,Sponsor,Sponsor Type,Disease
NCT02860065,Unknown,WITHDRAWN,2016-09-30,Alzheimer's Disease,"CPC-201, Positron emission tomography (PET)",West Bloomfield Township - United States,2017-06-30,2016-08-09,2017-08-09,INTERVENTIONAL,PHASE2,"Chase Pharmaceuticals Corporation, an affiliate of Allergan plc",INDUSTRY,alzheimer's
NCT06828289,Unknown,NOT_YET_RECRUITING,2025-02-28,Alzheimer&#39;s Disease,"Rivastigmine Mini-Tablet, Donepezil Hydrochloride",No locations listed,2026-12-31,2025-02-14,2025-02-20,OBSERVATIONAL,Not Available,Peking University First Hospital,OTHER,alzheimer's
NCT05178992,Unknown,RECRUITING,2021-09-13,Alzheimer Disease,Socially Assistive Robot Activity,Nashville - United States,2025-07-01,2022-01-05,2025-02-27,INTERVENTIONAL,PHASE2,Vanderbilt University,OTHER,alzheimer's
NCT04100889,Unknown,UNKNOWN,2020-03-02,"Alzheimer Disease, Alzheimer Disease 1, Alzheimer Disease 2, Alzheimer Disease 3, Alzheimer Disease 4, Alzheimer Disease 5, Alzheimer Disease 6, Alzheimer Disease 7, Alzheimer Disease 8, Alzheimer Disease 9, Late-Onset, Alzheimer Disease 10, Alzheimer Disease 11, Alzheimer Disease 12, Alzheimer Disease 13, Alzheimer Disease 14, Alzheimer Disease 15, Alzheimer Disease 16, Alzheimer Disease 17, Alzheimer Disease 18, Alzheimer Disease 19, Alzheimer Disease, Early Onset, Alzheimer Disease, Late Onset, Alzheimer Disease Focal",No Intervention,Ventura - United States,2023-03,2019-09-24,2021-09-05,OBSERVATIONAL,Not Available,ProgenaBiome,OTHER,alzheimer's
NCT04746989,Unknown,ACTIVE_NOT_RECRUITING,2021-02-01,Gout,"Probenecid, Allopurinol",Boston - United States,2023-12-31,2021-02-10,2023-07-18,OBSERVATIONAL,Not Available,Brigham and Women's Hospital,OTHER,alzheimer's
NCT05068830,ExPlas,RECRUITING,2021-09-17,Alzheimer Disease,"ExPlas, Octaplasma, Saline",Trondheim - Norway,2025-09,2021-10-06,2024-11-19,INTERVENTIONAL,PHASE2,Norwegian University of Science and Technology,OTHER,alzheimer's
NCT02600130,Unknown,COMPLETED,2016-10-10,Alzheimer's Disease,"Longeveron Mesenchymal Stem Cells, Placebo","Delray Beach - United States, Miami - United States, Miami - United States",2020-09,2015-11-09,2021-12-14,INTERVENTIONAL,PHASE1,Longeveron Inc.,INDUSTRY,alzheimer's
NCT02129348,Unknown,COMPLETED,2014-06,"Alzheimer's Disease, Psychosis, Agitation","Lithium, Placebo","Miami - United States, Belmont - United States, New York - United States, Dallas - United States",2020-01,2014-05-02,2024-05-02,INTERVENTIONAL,PHASE2,New York State Psychiatric Institute,OTHER,alzheimer's
NCT06489548,Unknown,NOT_YET_RECRUITING,2025-04,"Dementia, Alzheimers Disease, Mild Cognitive Impairment Due to Alzheimer's Disease","Foralumab TZLS-401 50 µg, Foralumab TZLS-401 100 µg",Boston - United States,2026-06,2024-07-08,2025-01-31,INTERVENTIONAL,PHASE2,Brigham and Women's Hospital,OTHER,alzheimer's
NCT05761665,Unknown,UNKNOWN,2023-06,"Alzheimer Disease, Frail Elderly Syndrome",Evaluation,No locations listed,2024-02-01,2023-03-09,2023-03-09,OBSERVATIONAL,Not Available,Kırıkkale University,OTHER,alzheimer's
NCT00938665,COGNISION™,COMPLETED,2010-12,"Memory Disorders, Alzheimer Disease, Dementia, Cognitive Impairment, Frontotemporal Dementia",COGNISION™ System,"West Palm Beach - United States, Lexington - United States, Louisville - United States, Brookline - United States, Durham - United States, Philadelphia - United States, Bennington - United States",2014-02,2009-07-14,2014-03-10,OBSERVATIONAL,Not Available,"Neuronetrix, Inc.",INDUSTRY,alzheimer's
NCT00698165,Unknown,COMPLETED,2007-06,Alzheimer's Disease,No interventions listed,"Northport - United States, Phoenix - United States, Brentwood - United States, Fresno - United States, LaHabra - United States, Long Beach - United States, Denver - United States, Wetherfield - United States, Atlantis - United States, Fort Myers - United States, Miami - United States, Port Charlotte - United States, Tampa - United States, Titusville - United States, Venice - United States, Canton - United States, Columbus - United States, Decatur - United States, Dunwoody - United States, Snellville - United States, Belleville - United States, Ft Wayne - United States, Shreveport - United States, Bethesda - United States, Prince Frederick - United States, Pittsfield - United States, Eaton Rapids - United States, St. Louis - United States, Eatontown - United States, Albany - United States, Brooklyn - United States, Syracuse - United States, Asheboro - United States, Charlotte - United States, Hickory - United States, Winston Salem - United States, Canton - United States, Centerville - United States, Oklahoma City - United States, East Providence - United States, Beaufort - United States, Summerville - United States, Port Arthur - United States, Tyler - United States, Witchita Falls - United States, Norfolk - United States, Gig Harbor - United States, Richland - United States, Cruces - Spain, Alicante - Spain, Barcelona - Spain, Burgos - Spain, Madrid - Spain, Seville - Spain, Bergsjo - Sweden, Bromma - Sweden, Jonkoping - Sweden, Karlstad - Sweden, Kristianstad - Sweden, Lomma - Sweden, Lund - Sweden, Malmo - Sweden, Ornskoldsvik - Sweden, Stockholm - Sweden, Umea - Sweden, Uppsala - Sweden, Varberg - Sweden, Overton - United Kingdom, Eastbourne - United Kingdom, Coney Hill - United Kingdom, Barnet - United Kingdom, Wood Green - United Kingdom, Brighton - United Kingdom, Chester - United Kingdom, Hove - United Kingdom, Ipswich - United Kingdom, Norwich - United Kingdom, Oxford - United Kingdom, Romsey - United Kingdom, Salisbury - United Kingdom, Stanmore - United Kingdom, Uckfield - United Kingdom",Unknown Date,2008-06-17,2009-02-20,OBSERVATIONAL,Not Available,AstraZeneca,INDUSTRY,alzheimer's
NCT02085265,SARTAN-AD,UNKNOWN,2014-03,Alzheimer's Disease,"Perindopril, Telmisartan","Calgary - Canada, Lethbridge - Canada, Vancouver - Canada, Hamilton - Canada, London - Canada, Toronto - Canada, Toronto - Canada, Toronto - Canada, Toronto - Canada, Toronto - Canada",2023-09,2014-03-12,2022-05-04,INTERVENTIONAL,PHASE2,Sunnybrook Health Sciences Centre,OTHER,alzheimer's
NCT03560960,DTAD,RECRUITING,2020-02-04,"Alzheimer Disease, Mild Cognitive Impairment",Pramlintide challenge test,"Indianapolis - United States, Boston - United States, Jamaica Plain - United States",2025-03,2018-06-19,2024-07-31,INTERVENTIONAL,PHASE1,Boston University,OTHER,alzheimer's
NCT03698760,Unknown,COMPLETED,2019-06-25,"Alzheimer Disease, Olfaction Disorders",Olfactory test,Montréal - Canada,2020-03-05,2018-10-09,2020-07-29,INTERVENTIONAL,NA,Jewish General Hospital,OTHER,alzheimer's
NCT03746366,Unknown,COMPLETED,2018-12-01,Alcohol Use Disorder,"[C-11], Pittsburgh Compound B",Pittsburgh - United States,2020-07-01,2018-11-19,2024-12-13,INTERVENTIONAL,PHASE1,University of Pittsburgh,OTHER,alzheimer's
NCT03290326,Unknown,COMPLETED,2017-11-27,Alzheimer Disease,Transcranial Alternating Current Stimulation (tACS),Boston - United States,2019-05-14,2017-09-21,2022-08-22,INTERVENTIONAL,NA,Massachusetts General Hospital,OTHER,alzheimer's
NCT05163626,Unknown,NOT_YET_RECRUITING,2024-12,Alzheimer Disease,Combined aerobic exercise and cognitive training program,Beijing - China,2034-12,2021-12-20,2023-07-24,INTERVENTIONAL,NA,"Xuanwu Hospital, Beijing",OTHER,alzheimer's
NCT01025466,EXPECT,COMPLETED,2008-12,Alzheimer's Disease,"Rivastigmine transdermal patch (Exelon patch), memantine, Rivastigmine transdermal patch","Bucheon - Korea, Republic of, Bucheon - Korea, Republic of, Busan - Korea, Republic of, Changwon - Korea, Republic of, Daegu - Korea, Republic of, Daejun - Korea, Republic of, Goyang - Korea, Republic of, Goyang - Korea, Republic of, Gwangju - Korea, Republic of, Iksan - Korea, Republic of, Incheon - Korea, Republic of, Incheon - Korea, Republic of, Pusan - Korea, Republic of, Pusan - Korea, Republic of, Seongnam - Korea, Republic of, Seoul - Korea, Republic of, Seoul - Korea, Republic of, Seoul - Korea, Republic of, Seoul - Korea, Republic of, Seoul - Korea, Republic of, Seoul - Korea, Republic of, Seoul - Korea, Republic of, Seoul - Korea, Republic of, Seoul - Korea, Republic of, Seoul - Korea, Republic of, Suwon - Korea, Republic of",2009-11,2009-12-03,2010-05-19,INTERVENTIONAL,PHASE4,Inha University Hospital,OTHER,alzheimer's
NCT04819126,Unknown,COMPLETED,2018-01-15,Age-Related Memory Disorders,Nintendo Wii Virtual Reality Application,Konya - Turkey,2018-06-06,2021-03-26,2021-03-26,INTERVENTIONAL,NA,Kırıkkale University,OTHER,alzheimer's
NCT00726726,Unknown,COMPLETED,2008-08,Alzheimer Disease,"Interacting drugs - Cooperstown Cocktail (midazolam, warfarin, (+ vitamin K), caffeine, omeprazole and dextromethorphan), BMS-708163, BMS-708163 + Cooperstown Cocktail",Hamilton - United States,2008-10,2008-08-01,2008-11-05,INTERVENTIONAL,PHASE1,Bristol-Myers Squibb,INDUSTRY,alzheimer's
NCT06169826,Unknown,NOT_YET_RECRUITING,2025-04,Alzheimer Disease,"l-Histidine, Control",Winston-Salem - United States,2026-04,2023-12-14,2024-12-27,INTERVENTIONAL,PHASE4,Wake Forest University Health Sciences,OTHER,alzheimer's
NCT02770482,ADAB40,COMPLETED,2014-06,Alzheimer Disease,spinal fluid collection,Reims - France,2018-03-14,2016-05-12,2020-06-22,INTERVENTIONAL,NA,CHU de Reims,OTHER,alzheimer's
NCT02997982,VALZ-Pilot,COMPLETED,2016-12,"Alzheimer Disease, Mild Cognitive Impairment, Herpes Simplex",Valaciclovir 500Mg Tablet,"Umeå - Sweden, Uppsala - Sweden",2020-03-04,2016-12-20,2020-04-03,INTERVENTIONAL,PHASE2,Hugo Lovheim,OTHER,alzheimer's
NCT01565382,Unknown,COMPLETED,2011-02,Alzheimer's Disease,florbetapir F 18,No locations listed,2011-02,2012-03-28,2022-08-16,INTERVENTIONAL,PHASE3,Avid Radiopharmaceuticals,INDUSTRY,alzheimer's
NCT04251182,Unknown,COMPLETED,2021-03-01,Alzheimer Disease,"15mg T3D-959, 30 mg T3D-959, 45 mg T3D-959, Placebos",Durham - United States,2023-01-20,2020-01-31,2024-07-19,INTERVENTIONAL,PHASE2,"T3D Therapeutics, Inc.",INDUSTRY,alzheimer's
NCT03393520,Unknown,COMPLETED,2017-10-13,Agitation in Patients With Dementia of the Alzheimer's Type,"Placebo, AVP-786","Chandler - United States, Gilbert - United States, Phoenix - United States, Scottsdale - United States, Tempe - United States, Little Rock - United States, Anaheim - United States, Costa Mesa - United States, La Mesa - United States, Lafayette - United States, Lomita - United States, Long Beach - United States, Long Beach - United States, Pasadena - United States, Altamonte Springs - United States, Aventura - United States, Boca Raton - United States, Boynton Beach - United States, Bradenton - United States, Brandon - United States, Brooksville - United States, Cutler Bay - United States, Doral - United States, Hialeah - United States, Hialeah - United States, Hollywood - United States, Jupiter - United States, Lake Worth - United States, Lakeland - United States, Lauderdale Lakes - United States, Lauderhill - United States, Lauderhill - United States, Miami Lakes - United States, Miami Lakes - United States, Miami - United States, Miami - United States, Miami - United States, Miami - United States, Miami - United States, Miami - United States, Miami - United States, Miami - United States, Miami - United States, Miami - United States, Miami - United States, Miami - United States, Miami - United States, Miami - United States, New Port Richey - United States, Orlando - United States, Palmetto - United States, Pompano Beach - United States, Port Charlotte - United States, Tampa - United States, Tampa - United States, Tampa - United States, Decatur - United States, Honolulu - United States, Covington - United States, Braintree - United States, Bloomfield - United States, Caro - United States, Troy - United States, Flowood - United States, Chesterfield - United States, O'Fallon - United States, Toms River - United States, New Windsor - United States, Orangeburg - United States, Woodmere - United States, Charlotte - United States, Charlotte - United States, Beachwood - United States, Centerville - United States, Columbus - United States, Middleburg Heights - United States, Youngstown - United States, Oklahoma City - United States, Oklahoma City - United States, Norristown - United States, Carrollton - United States, Dallas - United States, DeSoto - United States, Houston - United States, Houston - United States, Katy - United States, Lewisville - United States, McKinney - United States, Mesquite - United States, Salt Lake City - United States, Bellevue - United States, Everett - United States, Waukesha - United States, Nedlands - Australia, Noble Park - Australia, Parkville - Australia, Pleven - Bulgaria, Plovdiv - Bulgaria, Ruse - Bulgaria, Sofia - Bulgaria, Sofia - Bulgaria, Sofia - Bulgaria, Sofia - Bulgaria, Sofia - Bulgaria, Sofia - Bulgaria, Varna - Bulgaria, Veliko Tarnovo - Bulgaria, Vratsa - Bulgaria, Brno - Czechia, Brno - Czechia, Hostivice - Czechia, Hradec Kralové - Czechia, Hradec Králové - Czechia, Kladno - Czechia, Kutná Hora - Czechia, Plzen - Czechia, Praha - Czechia, Praha - Czechia, Praha - Czechia, Praha - Czechia, Praha - Czechia, Rychnov nad Kněžnou - Czechia, Caen cedex 9 - France, Calais - France, Dijon Cedex - France, Nantes Cedex - France, Poitiers - France, Saint-Etienne - France, Toulouse - France, Vandoeuvre les Nancy - France, Balassagyarmat - Hungary, Budapest - Hungary, Budapest - Hungary, Budapest - Hungary, Debrecen - Hungary, Esztergom - Hungary, Győr - Hungary, Kalocsa - Hungary, Miskolc - Hungary, Nyiregyhaza - Hungary, Pecs - Hungary, Szeged - Hungary, Székesfehérvár - Hungary, Brescia - Italy, Brescia - Italy, Chieti - Italy, Firenze - Italy, Milano - Italy, Monza - Italy, Ponderano - Italy, Roma - Italy, Roma - Italy, Roma - Italy, Bydgoszcz - Poland, Chorzów - Poland, Katowice - Poland, Katowice - Poland, Kraków - Poland, Kraków - Poland, Lodz - Poland, Nowa Sól - Poland, Plewiska - Poland, Poznań - Poland, Poznań - Poland, Sochaczew - Poland, Suchy Las - Poland, Szczecin - Poland, Warszawa - Poland, Warszawa - Poland, Warszawa - Poland, Zabrze - Poland, Ścinawa - Poland, Cape Town - South Africa, Cape Town - South Africa, Cape Town - South Africa, Johannesburg - South Africa, Rosebank - South Africa, Umhlanga - South Africa, Alcobendas - Spain, Barcelona - Spain, Barcelona - Spain, Barcelona - Spain, Barcelona - Spain, Córdoba - Spain, Elche - Spain, Lleida - Spain, Madrid - Spain, Madrid - Spain, Madrid - Spain, Majadahonda - Spain, Pamplona - Spain, Salamanca - Spain, Santander - Spain, Sevilla - Spain, Valencia - Spain, Zamora - Spain, Zaragoza - Spain, Barnsley - United Kingdom, Bath - United Kingdom, Belfast - United Kingdom, Blackpool - United Kingdom, Cannock - United Kingdom, Leeds - United Kingdom, London - United Kingdom, London - United Kingdom, Manchester - United Kingdom, Northampton - United Kingdom, Prescot - United Kingdom, Southampton - United Kingdom, Swindon - United Kingdom, Warrington - United Kingdom",2023-11-17,2018-01-08,2024-11-20,INTERVENTIONAL,PHASE3,"Otsuka Pharmaceutical Development & Commercialization, Inc.",INDUSTRY,alzheimer's
NCT06224920,ActiGliA,ACTIVE_NOT_RECRUITING,2017-01-01,"Alzheimer Disease, Corticobasal Syndrome","magnetic resonance imaging, electroencephalography, blood and CSF biomarker, positron emission tomography, neuropsychological test",No locations listed,2024-01-16,2024-01-25,2024-01-25,OBSERVATIONAL,Not Available,Ludwig-Maximilians - University of Munich,OTHER,alzheimer's
NCT06852326,ISAMA-PP,RECRUITING,2024-11-21,"Primary Care, Alzheimer Disease",No interventions listed,"Amboise - France, Saint-Renan - France, Sancergues - France",2026-05,2025-02-28,2025-02-28,OBSERVATIONAL,Not Available,"University Hospital, Tours",OTHER,alzheimer's
NCT01137526,Unknown,COMPLETED,2010-05,Alzheimer's Disease,"ABT-384, donepezil, placebo","Ekaterinburg - Russian Federation, Kazan - Russian Federation, Kirov - Russian Federation, Moscow - Russian Federation, Saratov - Russian Federation, St. Petersburg - Russian Federation, St. Petersburg - Russian Federation, St. Petersburg - Russian Federation, Yaroslavl - Russian Federation, Belville - South Africa, George - South Africa, Johannesburg - South Africa, Donetsk - Ukraine, Kharkiv - Ukraine, Kiev - Ukraine, Lviv - Ukraine, Poltava - Ukraine, Poltava - Ukraine, Simferopil - Ukraine, Ternopil - Ukraine, Vinnytsia - Ukraine, Bath - United Kingdom, Blackburn - United Kingdom, Crowborough - United Kingdom, Glasgow - United Kingdom, Ivybridge, Devon - United Kingdom, London - United Kingdom, Northampton - United Kingdom, Oxford - United Kingdom, Peterborough - United Kingdom",2011-07,2010-06-04,2013-01-29,INTERVENTIONAL,PHASE2,"AbbVie (prior sponsor, Abbott)",INDUSTRY,alzheimer's
NCT03554226,A3C,COMPLETED,2014-11-01,Alzheimer Disease,NeuroPsychiatric Inventory Clinician (NPI-C),Toulouse - France,2018-12-31,2018-06-13,2021-10-14,INTERVENTIONAL,NA,"University Hospital, Toulouse",OTHER,alzheimer's
NCT01662882,Unknown,COMPLETED,2012-10,"Alzheimer's Disease, Mild Cognitive Impairment",florbetapir (18F),"Kobe - Japan, Tokyo - Japan",2013-02,2012-08-13,2013-09-19,INTERVENTIONAL,PHASE3,Avid Radiopharmaceuticals,INDUSTRY,alzheimer's
NCT04877782,Unknown,COMPLETED,2021-01-14,Healthy Aging,Transcutaneous vagus verne stimulation,Maastricht - Netherlands,2023-09-25,2021-05-07,2023-10-23,OBSERVATIONAL,Not Available,Maastricht University Medical Center,OTHER,alzheimer's
NCT05361382,HEAD,RECRUITING,2021-11-23,Alzheimer Disease,"18F-Flortaucipir radiopharmaceutical, 18F-MK-6240 radiopharmaceutical, Amyloid-β radiopharmaceutical (11C-PiB or 18F-Florbetaben or 18F-NAV-4694 or 18F-Florbetapir)","Berkeley - United States, San Francisco - United States, Rochester - United States, Saint Louis - United States, Pittsburgh - United States, Providence - United States, Houston - United States, Montréal - Canada, Barcelona - Spain",2027-05-31,2022-05-04,2024-08-15,INTERVENTIONAL,PHASE1,Tharick Pascoal,OTHER,alzheimer's
NCT03814382,Unknown,TERMINATED,2019-03-11,Alzheimer's Dementia With Behavioral Disturbance,Acupuncture needle,Charlestown - United States,2020-01-17,2019-01-24,2022-02-03,INTERVENTIONAL,NA,Massachusetts General Hospital,OTHER,alzheimer's
NCT00417482,ADAD,COMPLETED,2004-08,"Alzheimer Disease, Psychotic Disorders, Agitation, Aggression",risperidone,"Tuscaloosa - United States, Los Angeles - United States, Norwalk - United States, Iowa City - United States, New York - United States, New York - United States, North Charleston - United States",2011-04,2007-01-01,2013-04-24,INTERVENTIONAL,PHASE4,New York State Psychiatric Institute,OTHER,alzheimer's
NCT03900273,NoMAD,ACTIVE_NOT_RECRUITING,2019-02-25,Healthy Participants,"No Practice Effects (NPE) cognitive battery, and Miami Computerized Functional Assessment Scale (CFAS), Preclinical Alzheimer's Cognitive Composite (PACC), Alzheimer's Disease Assessment Scale-Cognitive Scale (ADAS-Cog), and Functional Assessment Questionnaire (FAQ)","Los Angeles - United States, Miami - United States, Manhasset - United States, New York - United States",2025-08-31,2019-04-03,2024-08-16,INTERVENTIONAL,NA,New York State Psychiatric Institute,OTHER,alzheimer's
NCT06567431,BAT-AD,RECRUITING,2024-03-18,Neurodegenerative Diseases,No interventions listed,Copenhagen - Denmark,2026-01-31,2024-08-22,2024-08-22,OBSERVATIONAL,Not Available,Danish Dementia Research Centre,NETWORK,alzheimer's
NCT05463731,Unknown,ACTIVE_NOT_RECRUITING,2022-08-01,Alzheimer's Disease,"Remternetug (IV), Remternetug (SC), Placebo","Chandler - United States, Canoga Park - United States, Carlsbad - United States, Encino - United States, Fresno - United States, Irvine - United States, La Jolla - United States, Redlands - United States, Basalt - United States, Boulder - United States, Colorado Springs - United States, New Haven - United States, Stamford - United States, Atlantis - United States, Aventura - United States, Delray Beach - United States, Fort Myers - United States, Greenacres City - United States, Jacksonville - United States, Maitland - United States, Maitland - United States, Melbourne - United States, Merritt Island - United States, Miami - United States, Miami - United States, New Port Richey - United States, Ocala - United States, Orlando - United States, Pensacola - United States, Port Orange - United States, Stuart - United States, Stuart - United States, Tallahassee - United States, The Villages - United States, Wellington - United States, West Palm Beach - United States, Winter Park - United States, Columbus - United States, Decatur - United States, Chicago - United States, Elk Grove Village - United States, Waterloo - United States, Topeka - United States, Lake Charles - United States, Waltham - United States, Watertown - United States, Bolivar - United States, Chesterfield - United States, Las Vegas - United States, Springfield - United States, Toms River - United States, Albany - United States, Matthews - United States, Morehead City - United States, Canton - United States, Centerville - United States, Dayton - United States, Portland - United States, Jenkintown - United States, Plymouth Meeting - United States, East Providence - United States, Cordova - United States, Austin - United States, Beaumont - United States, Dallas - United States, Dallas - United States, Houston - United States, Round Rock - United States, Shavano Park - United States, Fairfax - United States, Richmond - United States, Bellevue - United States, Tacoma - United States, Toride - Japan, Kurashiki - Japan, Bunkyo-ku - Japan",2024-04-24,2022-07-19,2025-03-04,INTERVENTIONAL,PHASE3,Eli Lilly and Company,INDUSTRY,alzheimer's
NCT06860373,Unknown,TERMINATED,2023-06-27,Down Syndrome,[18F]MK-6240,Phoenix - United States,2024-04-17,2025-03-06,2025-03-06,INTERVENTIONAL,PHASE3,LuMind IDSC Foundation,OTHER,alzheimer's
NCT00088673,Unknown,UNKNOWN,2004-06,Alzheimer Disease,3APS,"Peoria - United States, Phoenix - United States, Hot Springs - United States, Fresno - United States, Laguna Hills - United States, San Diego - United States, San Francisco - United States, Denver - United States, Darien - United States, New Haven - United States, Stamford - United States, Washington - United States, Fort Myers - United States, Hialeah - United States, Miami - United States, Palm Beach Gardens - United States, Pompano Beach - United States, Tampa - United States, Tampa - United States, Tampa - United States, Tampa - United States, West Palm Beach - United States, Atlanta - United States, Atlanta - United States, Springfield - United States, Boston - United States, Farmington Hills - United States, Long Branch - United States, Albany - United States, New York - United States, New York - United States, Olean - United States, Orangeburg - United States, Rochester - United States, Raleigh - United States, Winston-Salem - United States, Cleveland - United States, Toledo - United States, Tulsa - United States, Philadelphia - United States, Philadelphia - United States, Philadelphia - United States, Pittsburgh - United States, East Providence - United States, Providence - United States, North Charleston - United States, Madison - United States, Houston - United States, San Antonio - United States, Bennington - United States, Calgary - Canada, Penticton - Canada, Saint-John - Canada, Halifax - Canada, Kingston - Canada, London - Canada, Ottawa - Canada, Toronto - Canada, Toronto - Canada, Toronto - Canada, Greenfield Park - Canada, Montreal - Canada, Montreal - Canada, Sherbrooke - Canada, Verdun (Montreal) - Canada, Ville de Quebec - Canada, Ville de Québec - Canada",Unknown Date,2004-08-03,2007-02-28,INTERVENTIONAL,PHASE3,Bellus Health Inc. - a GSK company,INDUSTRY,alzheimer's
NCT00678431,Unknown,COMPLETED,2008-01,Alzheimer's Disease,"Resveratrol with Glucose, and Malate, Placebo",Bronx - United States,2010-12,2008-05-15,2012-11-15,INTERVENTIONAL,PHASE3,US Department of Veterans Affairs,FED,alzheimer's
NCT02035982,Unknown,COMPLETED,2010-07,"Alzheimer's Disease, Dementia","Cholinesterase Inhibitor, Placebo","Toronto - Canada, Toronto - Canada",2014-05,2014-01-14,2017-04-28,INTERVENTIONAL,PHASE3,Sunnybrook Health Sciences Centre,OTHER,alzheimer's
NCT02021682,Unknown,COMPLETED,2013-12,Alzheimer's Disease,No interventions listed,Saint Louis - United States,2017-07,2013-12-27,2017-12-05,OBSERVATIONAL,Not Available,Washington University School of Medicine,OTHER,alzheimer's
