NCT ID,Acronym,Overall Status,Start Date,Conditions,Interventions,Locations,Primary Completion Date,Study First Post Date,Last Update Post Date,Study Type,Phases,Sponsor,Sponsor Type,Disease,category
NCT02250638,Unknown,COMPLETED,2014-05,Pancreatic Cancer,CA 19-9 Assay,"Boca Raton - United States, Fort Lauderdale - United States, Baltimore - United States, Kansas City - United States, Wilmington - United States, Columbus - United States, Vancouver - Canada",2021-06-30,2014-09-26,2021-08-17,OBSERVATIONAL,Not Available,"Fujirebio Diagnostics, Inc.",INDUSTRY,pancreatic_cancer,all_disease_procesed.csv
NCT05121038,CENDIFOX,ACTIVE_NOT_RECRUITING,2021-10-20,"Colon Cancer, Pancreas Cancer, Digestive Cancer","CEND-1, Panitumumab, Folfirinox","Fairway - United States, Kansas City - United States, North Kansas City - United States",2025-09,2021-11-16,2024-12-17,INTERVENTIONAL,PHASE2,Anup Kasi,OTHER,pancreatic_cancer,all_disease_procesed.csv
NCT03871790,PICOP-GLOBAL,COMPLETED,2019-04-01,"Colon Neoplasm, Colon Adenocarcinoma, Colon Cancer, Colo-rectal Cancer, Rectal Cancer, Rectal Neoplasms, Rectal Adenocarcinoma, Rectal Tumors, Pancreatic Cancer, Pancreas Cancer, Pancreatic Neoplasms, Pancreatic Adenocarcinoma",No interventions listed,Lahore - Pakistan,2022-04-01,2019-03-12,2023-02-10,OBSERVATIONAL,Not Available,CENTOGENE GmbH Rostock,INDUSTRY,pancreatic_cancer,all_disease_procesed.csv
NCT00680420,Unknown,COMPLETED,2008-06,Pancreas Cancer,fine needle aspiration biopsy,Portland - United States,2010-06,2008-05-20,2013-03-07,OBSERVATIONAL,Not Available,Oregon Health and Science University,OTHER,pancreatic_cancer,all_disease_procesed.csv
NCT00667082,Unknown,COMPLETED,2008-03,"Non-Small Cell Lung Cancer, Pancreatic Cancer, Melanoma, Lymphoma, Multiple Myeloma",NPI-0052 (marizomib) + vorinostat,"Adelaide - Australia, Woodville South - Australia, Nedlands - Australia",2010-01,2008-04-25,2017-11-22,INTERVENTIONAL,PHASE1,Celgene,INDUSTRY,pancreatic_cancer,all_disease_procesed.csv
NCT01781520,Unknown,COMPLETED,2013-06-01,Pancreatic Cancer,"DC-CIK Treatment, S1, Best supportive care",Beijing - China,2016-05-30,2013-02-01,2018-01-18,INTERVENTIONAL,PHASE2,Capital Medical University,OTHER,pancreatic_cancer,all_disease_procesed.csv
NCT04116073,Unknown,COMPLETED,2020-04-09,"Pancreatic Cancer Non-resectable, Pancreatic Cancer Metastatic",INCMGA00012 (PD-1 antibody),Baltimore - United States,2024-08-06,2019-10-04,2024-12-09,INTERVENTIONAL,PHASE2,Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins,OTHER,pancreatic_cancer,all_disease_procesed.csv
NCT06844773,Unknown,NOT_YET_RECRUITING,2025-02,Unresectable Locally Advanced Pancreatic Cancer,No interventions listed,Shanghai - China,2027-02,2025-02-25,2025-02-25,OBSERVATIONAL,Not Available,Shanghai Zhongshan Hospital,OTHER,pancreatic_cancer,all_disease_procesed.csv
NCT01332773,Artery first,UNKNOWN,2010-03,Pancreatic Head Cancer,"Artery first procedure, No artery first procedure",Heidelberg - Germany,2011-07,2011-04-11,2011-04-19,INTERVENTIONAL,PHASE3,Heidelberg University,OTHER,pancreatic_cancer,all_disease_procesed.csv
NCT01506973,Unknown,COMPLETED,2011-12,"Advanced Adenocarcinoma, Metastatic Adenocarcinoma","Hydroxychloroquine (HCQ), Gemcitabine, Abraxane",Philadelphia - United States,2022-03,2012-01-10,2022-03-31,INTERVENTIONAL,PHASE2,Abramson Cancer Center at Penn Medicine,OTHER,pancreatic_cancer,all_disease_procesed.csv
NCT04896073,Unknown,ACTIVE_NOT_RECRUITING,2022-03-07,Adenosquamous Carcinoma of the Pancreas,Minnelide,Bethesda - United States,2026-09-01,2021-05-21,2025-02-21,INTERVENTIONAL,PHASE2,National Cancer Institute (NCI),NIH,pancreatic_cancer,all_disease_procesed.csv
NCT03267173,Unknown,UNKNOWN,2017-06-15,"Pancreatic Cancer, CAR",Chimeric antigen receptor T cell,Harbin - China,2019-06,2017-08-30,2017-08-30,INTERVENTIONAL,PHASE1,First Affiliated Hospital of Harbin Medical University,OTHER,pancreatic_cancer,all_disease_procesed.csv
NCT03138720,Unknown,ACTIVE_NOT_RECRUITING,2017-05-23,"Resectable Pancreatic Cancer, Unresectable Pancreatic Cancer, Pancreatic Adenocarcinoma, Neoadjuvant Pancreatic Cancer",Paclitaxel Protein Bound (Abraxane),Scottsdale - United States,2024-03-03,2017-05-03,2024-06-17,INTERVENTIONAL,PHASE2,HonorHealth Research Institute,OTHER,pancreatic_cancer,all_disease_procesed.csv
NCT00564720,Unknown,TERMINATED,2006-12,Pancreatic Cancer,"Gemcitabine, Gemcitabine, Erlotinib, Oxaliplatin","Alexandroupolis - Greece, Athens - Greece, Athens - Greece, Athens - Greece, Athens - Greece, Athens - Greece, Larissa - Greece, Thessaloniki - Greece",2011-03,2007-11-28,2013-02-15,INTERVENTIONAL,PHASE2,Hellenic Oncology Research Group,OTHER,pancreatic_cancer,all_disease_procesed.csv
NCT05764720,ARTIA-Pancreas,RECRUITING,2023-05-14,Pancreatic Cancer,Daily Adaptive External Beam Radiation Therapy,Saint Louis - United States,2026-02-15,2023-03-13,2024-11-20,INTERVENTIONAL,,"Varian, a Siemens Healthineers Company",INDUSTRY,pancreatic_cancer,all_disease_procesed.csv
NCT01369420,Unknown,COMPLETED,2011-05,Pancreatic Adenocarcinoma,NanoKnife Low Energy Direct Current (LEDC) System Ablation,Verona - Italy,2011-12,2011-06-09,2016-11-08,INTERVENTIONAL,PHASE2,"Angiodynamics, Inc.",INDUSTRY,pancreatic_cancer,all_disease_procesed.csv
NCT01394120,Unknown,UNKNOWN,2011-08,"Carcinoma, Pancreatic Ductal","Targeted Therapy Tailored Treatment, Standard Chemotherapy",Madrid - Spain,2012-12,2011-07-14,2012-03-27,INTERVENTIONAL,PHASE2,"Sofia Perea, Director Clinical Trials Unit.",OTHER,pancreatic_cancer,all_disease_procesed.csv
NCT05298020,Unknown,UNKNOWN,2022-04-01,Advanced Pancreatic Cancer,"Envafolimab, Endostar, Nab paclitaxel, Gemcitabine",Xuzhou - China,2022-12-01,2022-03-28,2022-03-28,INTERVENTIONAL,PHASE2,The Affiliated Hospital of Xuzhou Medical University,OTHER,pancreatic_cancer,all_disease_procesed.csv
NCT01214720,Unknown,COMPLETED,2005-07,Pancreatic Cancer,bevacizumab [Avastin],"Adelaide - Australia, Camperdown - Australia, Footscray - Australia, Heidelberg - Australia, Kurralta Park - Australia, Melbourne - Australia, Melbourne - Australia, St. Leonards - Australia, Sydney - Australia, Sydney - Australia, Graz - Austria, Innsbruck - Austria, Salzburg - Austria, Wien - Austria, Antwerpen - Belgium, Bruxelles - Belgium, Bruxelles - Belgium, Leuven - Belgium, Wilrijk - Belgium, Edmonton - Canada, Vancouver - Canada, Ottawa - Canada, Toronto - Canada, Montreal - Canada, Quebec City - Canada, Beijing - China, Beijing - China, Shanghai - China, Brno - Czech Republic, Hradec Kralove - Czech Republic, Helsinki - Finland, Besancon - France, Bordeaux - France, Boulogne-billancourt - France, Clichy - France, Limoges - France, Marseille - France, Paris - France, Paris - France, Rouen - France, Saint Herblain - France, Strasbourg - France, Berlin - Germany, Bochum - Germany, Bonn - Germany, Halle - Germany, Hamburg - Germany, Heidelberg - Germany, Leipzig - Germany, Magdeburg - Germany, Mainz - Germany, Muenchen - Germany, Mönchengladbach - Germany, Trier - Germany, Kfar Saba - Israel, Petach Tikva - Israel, Rehovot - Israel, Tel Aviv - Israel, Bergamo - Italy, Bologna - Italy, Brescia - Italy, Chieti - Italy, Genova - Italy, Napoli - Italy, Orbassano - Italy, Parma - Italy, San Giovanni Rotondo - Italy, Amsterdam - Netherlands, Auckland - New Zealand, Christchurch - New Zealand, Lima - Peru, Lima - Peru, Gliwice - Poland, Lublin - Poland, Szczecin - Poland, Wroclaw - Poland, Singapore - Singapore, Singapore - Singapore, Cape Town - South Africa, Pretoria - South Africa, Alicante - Spain, Barcelona - Spain, Barcelona - Spain, Barcelona - Spain, Barcelona - Spain, Cordoba - Spain, Elche - Spain, Madrid - Spain, Santander - Spain, Valencia - Spain, Valencia - Spain, Stockholm - Sweden, Kueishan - Taiwan, Taipei - Taiwan, Glasgow - United Kingdom, Leicester - United Kingdom, London - United Kingdom, Manchester - United Kingdom, Northwood - United Kingdom, Sutton - United Kingdom, Truro - United Kingdom",2008-10,2010-10-05,2014-08-13,INTERVENTIONAL,PHASE3,Hoffmann-La Roche,INDUSTRY,pancreatic_cancer,all_disease_procesed.csv
NCT03736720,Unknown,TERMINATED,2019-06-17,"Locally Advanced Digestive System Neuroendocrine Carcinoma, Locally Advanced Pancreatic Neuroendocrine Carcinoma, Metastatic Digestive System Neuroendocrine Carcinoma, Metastatic Pancreatic Neuroendocrine Carcinoma, Refractory Digestive System Neuroendocrine Carcinoma, Refractory Pancreatic Neuroendocrine Carcinoma, Unresectable Digestive System Neuroendocrine Carcinoma, Unresectable Pancreatic Neuroendocrine Carcinoma","Fluorouracil, Leucovorin, Liposomal Irinotecan, Quality-of-Life Assessment","Buffalo - United States, Stony Brook - United States",2022-10-18,2018-11-09,2025-01-30,INTERVENTIONAL,PHASE2,Roswell Park Cancer Institute,OTHER,pancreatic_cancer,all_disease_procesed.csv
NCT04548960,OncoSNIPE,UNKNOWN,2018-01-06,CANCER,cancer patients,"Lyon - France, Besancon - France, Dijon - France, Dijon - France, Nancy - France, Reims - France, Strasbourg - France, Poitiers - France, Marseille - France, Clichy - France, Paris - France",2021-12-31,2020-09-16,2021-09-09,INTERVENTIONAL,,Oncodesign SA,INDUSTRY,pancreatic_cancer,all_disease_procesed.csv
NCT00003760,Unknown,COMPLETED,1998-11,Pancreatic Cancer,irofulven,"Omaha - United States, Fort Sam Houston - United States, San Antonio - United States",2000-05,2004-08-04,2012-08-09,INTERVENTIONAL,PHASE2,The University of Texas Health Science Center at San Antonio,OTHER,pancreatic_cancer,all_disease_procesed.csv
NCT00369460,Unknown,COMPLETED,2006-01,Pancreatic Cancer,physiologic testing,Cleveland - United States,2009-07,2006-08-29,2015-10-12,OBSERVATIONAL,Not Available,Case Comprehensive Cancer Center,OTHER,pancreatic_cancer,all_disease_procesed.csv
NCT05470166,ERAS,COMPLETED,2022-04-20,"ERAS, Lidocaine, Cancer of Pancreas, Natural Killer Cell Cytokine Production","Lidocaine IV, saline IV",Alexandria - Egypt,2024-01-17,2022-07-22,2024-08-21,INTERVENTIONAL,,Alexandria University,OTHER,pancreatic_cancer,all_disease_procesed.csv
NCT05604573,Unknown,UNKNOWN,2022-02-09,Pancreatic Cancer,"cell free DNA in blood, genetic mutation in tissue","Seoul - Korea, Republic of",2024-12-31,2022-11-03,2022-11-03,OBSERVATIONAL,Not Available,Seoul National University Hospital,OTHER,pancreatic_cancer,all_disease_procesed.csv
NCT00674973,Unknown,COMPLETED,2008-06,Pancreatic Cancer,"Erlotinib, Placebo","Kogarah - Australia, St. Leonards - Australia, Sydney - Australia, Box Hill - Australia, Salvador, Bahia - Brazil, Belo Horizonte - Brazil, Curitiba - Brazil, Ijui - Brazil, Porto Alegre - Brazil, Porto Alegre - Brazil, Porto Alegre - Brazil, Jau - Brazil, Sao Paulo - Brazil, Sao Paulo - Brazil, Gabrovo - Bulgaria, Pleven - Bulgaria, Plovdiv - Bulgaria, Sofia - Bulgaria, Sofia - Bulgaria, Sofia - Bulgaria, Vratsa - Bulgaria, Vratza - Bulgaria, Zagreb - Croatia, Bochum - Germany, Dresden - Germany, Esslingen - Germany, Greifswald - Germany, Hamburg - Germany, Köln - Germany, Saarbruecken - Germany, Ulm - Germany, Hong Kong - Hong Kong, Hong Kong - Hong Kong, Bangalore - India, Chennai - India, Jaipur - India, Kochi - India, Kolkata - India, Ludhiana - India, Mumbai - India, New Delhi - India, Pune - India, Vellore - India, Bologna - Italy, Udine - Italy, Riga - Latvia, Kaunas - Lithuania, Vilnius - Lithuania, Vilnius - Lithuania, Kuala Lumpur - Malaysia, Penang - Malaysia, Monterrey - Mexico, Arequipa - Peru, Chiclayo - Peru, San Isidro - Peru, Bucharest - Romania, Cluj Napoca - Romania, Craiova (Dolj county) - Romania, Irkutsk - Russian Federation, Kazan - Russian Federation, Krasnodar - Russian Federation, Moscow - Russian Federation, St Petersburg - Russian Federation, St Petersburg - Russian Federation, Singapore - Singapore, Ljubljana - Slovenia, Kiev - Ukraine, London - United Kingdom, London - United Kingdom, London - United Kingdom, London - United Kingdom, Sutton - United Kingdom",2010-12,2008-05-08,2016-06-17,INTERVENTIONAL,PHASE2,Hoffmann-La Roche,INDUSTRY,pancreatic_cancer,all_disease_procesed.csv
NCT06524973,Unknown,RECRUITING,2024-10-07,Metastatic Pancreatic Adenocarcinoma,"Telemedicine, Counseling, Best Practice, Questionnaire Administration, Inrweview","Arcadia - United States, Corona - United States, Duarte - United States, Duarte - United States, Glendale - United States, Glendora - United States, Huntington Beach - United States, Irvine - United States, Irvine - United States, Lancaster - United States, Long Beach - United States, Long Beach - United States, Mission Hills - United States, Newport Beach - United States, Palmdale - United States, Santa Clarita - United States, Simi Valley - United States, South Pasadena - United States, Thousand Oaks - United States, Torrance - United States, Upland - United States, West Covina - United States",2027-05-03,2024-07-29,2024-11-06,INTERVENTIONAL,,City of Hope Medical Center,OTHER,pancreatic_cancer,all_disease_procesed.csv
NCT00490373,Unknown,COMPLETED,2003-10,Pancreatic Cancer,pemetrexed,Frankfurt - Germany,Unknown Date,2007-06-22,2007-06-22,INTERVENTIONAL,PHASE2,Eli Lilly and Company,INDUSTRY,pancreatic_cancer,all_disease_procesed.csv
NCT03791073,PANEXPEL,RECRUITING,2018-01-01,Oncology,No interventions listed,Montpellier - France,2019-01-01,2019-01-02,2023-05-12,OBSERVATIONAL,Not Available,"University Hospital, Montpellier",OTHER,pancreatic_cancer,all_disease_procesed.csv
NCT04123574,Unknown,WITHDRAWN,2019-10-15,"Cancer of Pancreas, Cancer of the Pancreas, Neoplasms, Pancreatic, Pancreas Cancer, Pancreatic Cancer",Talabostat Mesylate,"Boston - United States, New York - United States",2021-12-06,2019-10-11,2022-02-24,INTERVENTIONAL,PHASE1,BioXcel Therapeutics Inc,INDUSTRY,pancreatic_cancer,all_disease_procesed.csv
NCT02207465,Unknown,RECRUITING,2014-07,"Locally Advanced Unresectable Pancreatic Cancer Treated With Chemoradiotherapy, Borderline Resectable Pancreatic Cancer Treated With Chemoradiotherapy","Radiotherapy, Abraxane","Philadelphia - United States, West Chester - United States",2025-12,2014-08-04,2024-11-07,INTERVENTIONAL,PHASE1,Abramson Cancer Center at Penn Medicine,OTHER,pancreatic_cancer,all_disease_procesed.csv
NCT00267020,Unknown,COMPLETED,2005-12,Pancreatic Neoplasm,"enzastaurin, gemcitabine",Dallas - United States,2008-05,2005-12-20,2020-08-31,INTERVENTIONAL,PHASE2,Eli Lilly and Company,INDUSTRY,pancreatic_cancer,all_disease_procesed.csv
NCT00410774,Unknown,TERMINATED,2006-07,Pancreatic Cancer,"bevacizumab, gemcitabine hydrochloride, adjuvant therapy",San Francisco - United States,2007-10,2006-12-13,2012-09-17,INTERVENTIONAL,PHASE2,"University of California, San Francisco",OTHER,pancreatic_cancer,all_disease_procesed.csv
NCT04984174,Unknown,RECRUITING,2021-08-04,Pancreatic Cancer,No interventions listed,"Goyang-si - Korea, Republic of",2024-12-28,2021-07-30,2024-09-23,OBSERVATIONAL,Not Available,"National Cancer Center, Korea",OTHER_GOV,pancreatic_cancer,all_disease_procesed.csv
NCT00316420,Unknown,COMPLETED,2003-12,Pancreatic Cancer,"Capecitabine (Xeloda), Gemcitabine",Seattle - United States,2009-02,2006-04-20,2010-03-08,INTERVENTIONAL,PHASE1,Swedish Medical Center,OTHER,pancreatic_cancer,all_disease_procesed.csv
